cohort,kind,support,n_cols,divergence
colorectal,real,1098,95,2.1208262528661574
colorectal,real,1011,94,2.5474929521968797
colorectal,real,962,81,1.8802074274707925
colorectal,real,841,99,3.100353838055295
colorectal,real,815,14,1.1811340752590584
colorectal,real,798,100,2.5758222538825453
colorectal,real,793,76,2.576462767140197
colorectal,real,746,96,3.00555913431063
colorectal,real,679,98,2.911112056568601
colorectal,real,603,85,2.7221456998270614
colorectal,real,594,104,1.7323570087446103
colorectal,real,585,95,2.7357861380526445
colorectal,real,575,80,2.494994255398498
colorectal,real,540,100,2.7127523538087104
colorectal,real,525,99,2.847254769237778
colorectal,real,504,99,2.794915500317875
colorectal,real,495,101,2.9054567411115926
colorectal,real,475,82,2.277660382217142
colorectal,real,466,82,2.2731837382405016
colorectal,real,419,16,1.0715023917134614
colorectal,real,358,86,2.6764953053236606
colorectal,real,349,103,2.8996167087120814
colorectal,real,338,105,2.070448755694423
colorectal,real,330,77,2.9029430925202955
colorectal,real,310,77,2.5731779243157873
colorectal,real,301,80,2.423429154481992
colorectal,real,279,86,2.8965106511076777
colorectal,real,276,100,1.9546949201527228
colorectal,real,238,81,2.478011423518584
colorectal,real,232,80,2.6198000594871584
colorectal,real,231,81,2.809458408179864
colorectal,real,225,99,2.78600257247681
colorectal,real,198,104,1.6220376427360228
colorectal,real,187,83,2.7019277367386967
colorectal,real,186,75,2.741049853598043
colorectal,real,183,84,2.020072099706512
colorectal,real,172,79,2.2568442222599474
colorectal,real,172,83,2.913621913346963
colorectal,real,159,97,1.969454119968703
colorectal,real,154,96,2.4346469415080176
colorectal,null,1098,95,2.184144157418299
colorectal,null,1011,94,2.115465281399294
colorectal,null,962,81,2.390585800358766
colorectal,null,841,99,2.4023517655932936
colorectal,null,815,14,1.1929770656459768
colorectal,null,798,100,2.663801425400176
colorectal,null,793,76,2.6684644012046
colorectal,null,746,96,2.7126328231301713
colorectal,null,679,98,3.360041136237102
colorectal,null,603,85,3.156938509898868
colorectal,null,594,104,2.4728064870927895
colorectal,null,585,95,3.228107587306569
colorectal,null,575,80,2.854976221480655
colorectal,null,540,100,2.700750222669888
colorectal,null,525,99,3.2299979456927197
colorectal,null,504,99,2.9865726685299694
colorectal,null,495,101,2.8125973869351295
colorectal,null,475,82,2.801796411117861
colorectal,null,466,82,2.958317899701034
colorectal,null,419,16,1.457413384273605
colorectal,null,358,86,1.841941384878457
colorectal,null,349,103,2.4605968763146864
colorectal,null,338,105,2.839624889424831
colorectal,null,330,77,2.1990859355929473
colorectal,null,310,77,2.7950366493759478
colorectal,null,301,80,2.6370271330725084
colorectal,null,279,86,1.797489225775823
colorectal,null,276,100,2.7136066648155377
colorectal,null,238,81,2.1847633002342173
colorectal,null,232,80,2.0208059739855515
colorectal,null,231,81,2.606400738419823
colorectal,null,225,99,2.048210953728225
colorectal,null,198,104,1.8777298917924987
colorectal,null,187,83,2.256646525940003
colorectal,null,186,75,2.22318874731734
colorectal,null,183,84,2.430819835940579
colorectal,null,172,79,2.108591481530515
colorectal,null,172,83,1.726784526235952
colorectal,null,159,97,2.10410552501064
colorectal,null,154,96,1.9695604489945293
lung,real,1144,94,2.6640843330621986
lung,real,1089,100,1.6135200253033892
lung,real,1052,93,2.6401434019393752
lung,real,1039,80,2.0859649956824864
lung,real,914,86,1.438068113625525
lung,real,906,99,1.8622380130864908
lung,real,840,75,2.333873985114604
lung,real,823,14,1.301570259970311
lung,real,798,81,1.3659891506783866
lung,real,791,99,3.237219490846992
lung,real,790,95,3.2922012482587655
lung,real,756,105,1.9404758500193378
lung,real,722,101,1.971573302279742
lung,real,630,100,1.815086589315956
lung,real,620,94,3.0997951532592025
lung,real,555,98,3.4905721926059643
lung,real,507,87,1.9317031607356283
lung,real,501,81,2.6980595442123296
lung,real,500,104,1.6836747184158878
lung,real,487,100,3.17481408372272
lung,real,483,81,2.5270593891251507
