family,method,colorectal,lung,ovarian,prostate,ci_colorectal,ci_lung,ci_ovarian,ci_prostate,acc_colorectal,acc_lung,acc_ovarian,acc_prostate,auroc_colorectal,auroc_lung,auroc_ovarian,auroc_prostate
impute,Mean + logistic,0.13712996257792773,0.1829688357538374,0.11415969669134331,0.16511769908615836,0.003466024608416954,0.004651887602244692,0.004391836749707008,0.002926295262719883,96.09225,96.1125,97.35375,94.85475000000001,0.7517748596011855,0.7898273527704626,0.7556524155052412,0.7438422225662852
impute,Chained equations,0.08359235545775036,0.0946083827007223,0.10145126913066266,0.152342130469025,0.0037224016241798955,0.0034081707394953906,0.008573370898726534,0.009201717344424556,96.11425,96.10825,97.357,94.85475,0.6803944253813414,0.6889911558554799,0.7388733691479049,0.7257348757677865
mask,Mean + indicator x features,0.13700821232809435,0.17546242932768888,0.11517503252173558,0.16372156839561286,0.003081753532547235,0.00449067323373685,0.004200639801301441,0.003086572179547678,96.11525,96.12325,97.35574999999999,94.8645,0.750745999791981,0.7835792386336304,0.7595398966201536,0.7434457922468078
mask,Mean + indicator,0.1335707430839501,0.17805019278935574,0.10715867943103856,0.1614519719615485,0.003263607811675756,0.004514890676880823,0.0040036335856097685,0.0030874033597663025,96.0875,96.0965,97.34349999999999,94.84725,0.7439858757146564,0.7868206274945829,0.7485478472984651,0.7402545513506478
native,HistGradientBoosting,0.12555479214303467,0.1694140780075738,0.09114861812666249,0.15327529288255115,0.0029512493305286006,0.004345613497100637,0.00293112755232975,0.0029495991531914567,96.10074999999999,96.10799999999999,97.3365,94.834,0.7459908179226461,0.7795874156549215,0.7408220789481021,0.739207461945737
native,XGBoost,0.10428859629508304,0.14114188221683446,0.07537132146076708,0.12596075510309623,0.0022872007444746864,0.0035485406085622867,0.0029090645931824644,0.002571209715591133,95.98649999999999,95.986,97.27475,94.6485,0.7025390240621057,0.7417235422453657,0.6835073294296814,0.6860967362022081
native,LightGBM,0.12481504685831105,0.1655382347605358,0.09325896859688693,0.15532067164302985,0.003074287412210018,0.004444304022168111,0.003772715705484174,0.002873575039585047,96.0965,96.06425,97.32725,94.81000000000002,0.7423169279080578,0.7765398845947468,0.7339485564598398,0.7355553364744577
pattern,SPSM,0.12960224466142298,0.1576624254411937,0.09946220961383533,0.15691797242116698,0.003289962256437809,0.003950576334369502,0.0032366570581275553,0.0029474470871493214,96.1075,96.11425000000001,97.36225,94.85025,0.7450898120032576,0.7666304227379886,0.7477697284473191,0.741517924275376
pattern,Pattern submodels,0.12980322304463726,0.15707771713001198,0.0996431926657986,0.1575429561626106,0.003348294012504402,0.003923895309759146,0.0032829264571655054,0.0029026317341702135,96.109,96.11425000000001,97.36325000000001,94.85100000000001,0.7450258832236245,0.7660546848049686,0.7475084916674555,0.742079297678667
pattern,Learn++.MF,0.12735848067091937,0.15824831140168383,0.10096561150996969,0.15602377093538272,0.003360061908422571,0.0039495227122213344,0.0033425229555425415,0.0029458476505374587,96.1135,96.11275000000002,97.3675,94.84875,0.7416169881065195,0.7662846797207511,0.7445680719468676,0.739962749763529
pattern,Reduced-feature ensemble,0.1371182240337425,0.18297594415054302,0.11413500039836083,0.16519640654035211,0.003439226375978585,0.0046466174927106835,0.0043380197907415124,0.0029346494332777168,96.093,96.11325,97.35475000000001,94.855,0.751884264383784,0.7899346448852295,0.7558131255502778,0.7438897561882324
pattern,Reduced-feature ensemble (tree),0.08987166434302313,0.1124286490080646,0.06954879649014792,0.11357718283745834,0.0023154133839958096,0.0031693914936846493,0.0022312453754121733,0.00225654278199397,96.01699999999998,95.98774999999999,97.29875,94.662,0.684808893892383,0.712019503527694,0.6823630983204013,0.6830961112440059
ours,Proposed method,0.13063066806258225,0.1586490942892715,0.10006671742669102,0.15762458149033606,0.003381759621342892,0.004018408839449761,0.003336910912053355,0.0028922823506473128,96.10875,96.11375000000001,97.36225,94.85124999999998,0.7457387069654353,0.7672701987633624,0.7486556099730205,0.7421091113112835
