family,method,colorectal,lung,ovarian,prostate,ci_colorectal,ci_lung,ci_ovarian,ci_prostate,acc_colorectal,acc_lung,acc_ovarian,acc_prostate,auroc_colorectal,auroc_lung,auroc_ovarian,auroc_prostate
impute,Mean + logistic,,0.2703119820220425,0.44852643128583014,0.3316026007808184,,0.006808386891457935,0.00857277054503508,0.005019158858633299,,96.31125,97.94900000000001,95.162,,0.8098981965850731,0.8781688840147421,0.8333410596253258
impute,Chained equations,,0.1052807596224943,0.11310078948388788,0.3123695323495705,,0.005248001713825737,0.01732368540683689,0.017680480163200174,,96.10775,97.36325000000001,95.1305,,0.6915512352906306,0.7305551105368778,0.8210360170987729
mask,Mean + indicator x features,,0.24055759615764924,0.24471717391544573,0.32187473970833397,,0.00608981730785578,0.008712647817061797,0.0048498077337946754,,96.21725000000002,97.4435,95.1455,,0.8121914290261294,0.8503779351973201,0.8311339345921251
mask,Mean + indicator,,0.3328904121218166,0.5031936011693456,0.37297107851902594,,0.006372225126383163,0.007500842205409947,0.005686395884875767,,96.58924999999999,98.23425,95.449,,0.8102234646432371,0.884621269814545,0.8329947064538117
native,HistGradientBoosting,,0.38175174335168793,0.5115632995335503,0.4688075380726558,,0.006618260011889615,0.007226022269441856,0.00612879118777529,,96.88074999999999,98.339,96.107,,0.8151272431177102,0.8891345408317303,0.8487684848319045
native,XGBoost,,0.3653548249967317,0.49625636953872176,0.43964777657149917,,0.007075340121454304,0.006776404928364427,0.006570500590083378,,96.8425,98.3075,95.95675,,0.791456790490569,0.87279385046623,0.8258894229883559
native,LightGBM,,0.38766440271415303,0.5170315634392716,0.46835849322426654,,0.0071455566318469055,0.007022986033462686,0.005874742153965468,,96.9035,98.35100000000001,96.10775000000001,,0.8121317334623009,0.888333747954519,0.8483911327257089
pattern,SPSM,,0.18647085018500842,0.20250269445460986,0.23141443305467616,,0.005115113893249812,0.006705294760718586,0.004093084548509041,,96.1175,97.36575,94.8755,,0.7883841406771451,0.831089517003353,0.8083346071366134
pattern,Pattern submodels,,0.18725497160264765,0.1740709465542808,0.22959861291447378,,0.0051647989158417895,0.006315492439735171,0.003937585550679107,,96.1155,97.36675000000001,94.87049999999999,,0.7884550191223457,0.8214327207107694,0.8080157138991324
pattern,Learn++.MF,,0.19316168175231968,0.2154987132132839,0.2562862578456452,,0.005393916349621011,0.008065914144422467,0.004225245902040181,,96.117,97.37575,94.90125,,0.792290265207625,0.8358890255025594,0.8189297074698243
pattern,Reduced-feature ensemble,,0.2702724167628584,0.4479918485277553,0.33161091962614264,,0.006803451732121185,0.008654785766717993,0.00499757805395018,,96.30825000000002,97.9415,95.16325000000002,,0.8099613892303786,0.8787529473956471,0.833353503894567
pattern,Reduced-feature ensemble (tree),,0.3145605343732056,0.4701138156636958,0.35318909274672045,,0.007134217005047239,0.00838107751430961,0.006410633174917135,,96.77099999999999,98.26525,95.59425,,0.7682752261173599,0.8581175548430009,0.7949906481877939
ours,Proposed method,0.18681439104479924,0.18923253144883898,0.19877257406521529,0.23137336411776335,0.004645301976132082,0.005159754038927669,0.00667129558276211,0.003993006009611888,96.1135,96.11449999999999,97.36449999999999,94.8735,0.7995685982883003,0.7898797297034421,0.8324483601063989,0.8086350056620113
