cohort,method,n,baseline,full,delta,p,wins
lung,histgb_native,50,0.1694140780075738,0.38175174335168793,0.21765938205075067,1.7763568394002505e-15,50
lung,mask_interaction,50,0.17546242932768888,0.24055759615764924,0.0643785004420747,1.7763568394002505e-15,50
lung,mean_impute,50,0.1829688357538374,0.2703119820220425,0.08568214965182874,1.7763568394002505e-15,50
lung,mean_indicator,50,0.17805019278935574,0.3328904121218166,0.1542417761411461,1.7763568394002505e-15,50
lung,ours,50,0.1586490942892715,0.18923253144883898,0.030943843324040946,1.7763568394002505e-15,50
lung,pattern_submodels,50,0.15707771713001198,0.18725497160264765,0.030858516021971705,1.7763568394002505e-15,50
lung,spsm_global,50,0.1576624254411937,0.18647085018500842,0.02949240600512129,1.7763568394002505e-15,50
ovarian,histgb_native,50,0.09114861812666249,0.5115632995335503,0.4158921252006267,1.7763568394002505e-15,50
ovarian,mask_interaction,50,0.11517503252173558,0.24471717391544573,0.12869499020128589,1.7763568394002505e-15,50
ovarian,mean_impute,50,0.11415969669134331,0.44852643128583014,0.33750077753659585,1.7763568394002505e-15,50
ovarian,mean_indicator,50,0.10715867943103856,0.5031936011693456,0.39722949916228445,1.7763568394002505e-15,50
ovarian,ours,50,0.10006671742669102,0.19877257406521529,0.09934969821662146,1.7763568394002505e-15,50
ovarian,pattern_submodels,50,0.0996431926657986,0.1740709465542808,0.0746429439739082,1.7763568394002505e-15,50
ovarian,spsm_global,50,0.09946220961383533,0.20250269445460986,0.1002289636114578,1.7763568394002505e-15,50
prostate,histgb_native,50,0.15327529288255115,0.4688075380726558,0.31542160109075473,1.7763568394002505e-15,50
prostate,mask_interaction,50,0.16372156839561286,0.32187473970833397,0.1559479604280057,1.7763568394002505e-15,50
prostate,mean_impute,50,0.16511769908615836,0.3316026007808184,0.16481014479058442,1.7763568394002505e-15,50
prostate,mean_indicator,50,0.1614519719615485,0.37297107851902594,0.2115386462878202,1.7763568394002505e-15,50
prostate,ours,50,0.15762458149033606,0.23137336411776335,0.0716587842024114,1.7763568394002505e-15,50
prostate,pattern_submodels,50,0.1575429561626106,0.22959861291447378,0.07019035045505215,1.7763568394002505e-15,50
prostate,spsm_global,50,0.15691797242116698,0.23141443305467616,0.07239679364103412,1.7763568394002505e-15,50
