dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
cand_airbnb,holdout,0.0,-1,0,mask_full,0.6053510326948423,0.49896666666666667,60000,29
cand_airbnb,holdout,1.0,0,29,values,0.9267359450125094,0.49896666666666667,60000,29
cand_airbnb,holdout,1.0,0,29,values+mask_full,0.9267359450125094,0.49896666666666667,60000,29
cand_airbnb,holdout,1.0,0,29,values+mask_kept,0.9267359450125094,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,0,22,values,0.9128095640029836,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,0,22,values+mask_full,0.9165819473195708,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,0,22,values+mask_kept,0.9128095640029836,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,1,22,values,0.9172131871962166,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,1,22,values+mask_full,0.9172131871962166,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,1,22,values+mask_kept,0.9172131871962166,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,2,22,values,0.9238888102636631,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,2,22,values+mask_full,0.923887712657123,0.49896666666666667,60000,29
cand_airbnb,holdout,0.75,2,22,values+mask_kept,0.9238888102636631,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,0,15,values,0.9087500811154168,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,0,15,values+mask_full,0.9090696976679673,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,0,15,values+mask_kept,0.9087500811154168,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,1,15,values,0.8833567403082839,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,1,15,values+mask_full,0.8846459013472746,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,1,15,values+mask_kept,0.8833567403082839,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,2,15,values,0.8728730951932413,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,2,15,values+mask_full,0.882193647593734,0.49896666666666667,60000,29
cand_airbnb,holdout,0.5,2,15,values+mask_kept,0.8728730951932413,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,0,8,values,0.8627974635423163,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,0,8,values+mask_full,0.8675230343742324,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,0,8,values+mask_kept,0.8627974635423163,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,1,8,values,0.6785971183353237,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,1,8,values+mask_full,0.7470783934795044,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,1,8,values+mask_kept,0.6785971183353237,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,2,8,values,0.8871234738437075,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,2,8,values+mask_full,0.8929339206133454,0.49896666666666667,60000,29
cand_airbnb,holdout,0.25,2,8,values+mask_kept,0.8871234738437075,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,0,3,values,0.5635286062841625,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,0,3,values+mask_full,0.6670330826338464,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,0,3,values+mask_kept,0.5635286062841625,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,1,3,values,0.5847226296178781,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,1,3,values+mask_full,0.6806850708008697,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,1,3,values+mask_kept,0.5847226296178781,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,2,3,values,0.7065027838196991,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,2,3,values+mask_full,0.7783564156252036,0.49896666666666667,60000,29
cand_airbnb,holdout,0.1,2,3,values+mask_kept,0.7065027838196991,0.49896666666666667,60000,29
