dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
cand_eicu_regime,holdout,0.0,-1,0,mask_full,0.276446788761998,0.09062703087985577,47701,57
cand_eicu_regime,holdout,1.0,0,57,values,0.40212879261336976,0.09062703087985577,47701,57
cand_eicu_regime,holdout,1.0,0,57,values+mask_full,0.40212879261336976,0.09062703087985577,47701,57
cand_eicu_regime,holdout,1.0,0,57,values+mask_kept,0.40212879261336976,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,0,43,values,0.38701322918535136,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,0,43,values+mask_full,0.3875147144913363,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,0,43,values+mask_kept,0.38701322918535136,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,1,43,values,0.3836313719234893,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,1,43,values+mask_full,0.3839120358694613,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,1,43,values+mask_kept,0.3836313719234893,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,2,43,values,0.3963474506551984,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,2,43,values+mask_full,0.396714062810532,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.75,2,43,values+mask_kept,0.3963474506551984,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,0,29,values,0.34905912624209173,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,0,29,values+mask_full,0.356895514937862,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,0,29,values+mask_kept,0.34905912624209173,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,1,29,values,0.37869206052020304,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,1,29,values+mask_full,0.3809355707812877,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,1,29,values+mask_kept,0.37869206052020304,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,2,29,values,0.3685083361305774,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,2,29,values+mask_full,0.374818566319832,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.5,2,29,values+mask_kept,0.3685083361305774,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,0,15,values,0.3283111920095474,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,0,15,values+mask_full,0.345369996003848,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,0,15,values+mask_kept,0.3283111920095474,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,1,15,values,0.3165431366750605,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,1,15,values+mask_full,0.3445949675024383,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,1,15,values+mask_kept,0.3165431366750605,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,2,15,values,0.3266325289041076,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,2,15,values+mask_full,0.3397740219378135,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.25,2,15,values+mask_kept,0.3266325289041076,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,0,6,values,0.2711754118606137,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,0,6,values+mask_full,0.3103230094975911,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,0,6,values+mask_kept,0.2711754118606137,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,1,6,values,0.22926554230037643,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,1,6,values+mask_full,0.30994596487405995,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,1,6,values+mask_kept,0.22926554230037643,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,2,6,values,0.2642483978195372,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,2,6,values+mask_full,0.306098918342491,0.09062703087985577,47701,57
cand_eicu_regime,holdout,0.1,2,6,values+mask_kept,0.2642483978195372,0.09062703087985577,47701,57
