dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
cand_higgs,holdout,0.0,-1,0,mask_full,0.43373678836501184,0.3419833333333333,60000,30
cand_higgs,holdout,1.0,0,30,values,0.838475596999851,0.3419833333333333,60000,30
cand_higgs,holdout,1.0,0,30,values+mask_full,0.838475596999851,0.3419833333333333,60000,30
cand_higgs,holdout,1.0,0,30,values+mask_kept,0.838475596999851,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,0,23,values,0.8365439562510035,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,0,23,values+mask_full,0.8365439562510035,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,0,23,values+mask_kept,0.8365439562510035,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,1,23,values,0.8367565653183417,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,1,23,values+mask_full,0.8367565653183417,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,1,23,values+mask_kept,0.8367565653183417,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,2,23,values,0.8163968229133535,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,2,23,values+mask_full,0.8172913534597478,0.3419833333333333,60000,30
cand_higgs,holdout,0.75,2,23,values+mask_kept,0.8163968229133535,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,0,15,values,0.8244454416583092,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,0,15,values+mask_full,0.8244454416583092,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,0,15,values+mask_kept,0.8244454416583092,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,1,15,values,0.8140775375565312,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,1,15,values+mask_full,0.8140775375565312,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,1,15,values+mask_kept,0.8140775375565312,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,2,15,values,0.7982490703120433,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,2,15,values+mask_full,0.801298060210619,0.3419833333333333,60000,30
cand_higgs,holdout,0.5,2,15,values+mask_kept,0.7982490703120433,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,0,8,values,0.8095201224084285,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,0,8,values+mask_full,0.8117633537776789,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,0,8,values+mask_kept,0.8095201224084285,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,1,8,values,0.7938837671158379,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,1,8,values+mask_full,0.7938837671158379,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,1,8,values+mask_kept,0.7938837671158379,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,2,8,values,0.7971571484896204,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,2,8,values+mask_full,0.7976286826821829,0.3419833333333333,60000,30
cand_higgs,holdout,0.25,2,8,values+mask_kept,0.7971571484896204,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,0,3,values,0.4522219724342475,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,0,3,values+mask_full,0.47248081448410834,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,0,3,values+mask_kept,0.4522219724342475,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,1,3,values,0.5537908646758054,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,1,3,values+mask_full,0.5772844634327701,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,1,3,values+mask_kept,0.5537908646758054,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,2,3,values,0.6356359849911735,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,2,3,values+mask_full,0.6486097435233001,0.3419833333333333,60000,30
cand_higgs,holdout,0.1,2,3,values+mask_kept,0.6356359849911735,0.3419833333333333,60000,30
