dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
cand_mimic4_regime,holdout,0.0,-1,0,mask_full,0.31046786986634045,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,1.0,0,57,values,0.461618288195576,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,1.0,0,57,values+mask_full,0.461618288195576,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,1.0,0,57,values+mask_kept,0.461618288195576,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,0,43,values,0.45266437126339304,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,0,43,values+mask_full,0.452705900861981,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,0,43,values+mask_kept,0.45266437126339304,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,1,43,values,0.43853671373034786,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,1,43,values+mask_full,0.43918920148315577,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,1,43,values+mask_kept,0.43853671373034786,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,2,43,values,0.45592823056987253,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,2,43,values+mask_full,0.4560349863799748,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.75,2,43,values+mask_kept,0.45592823056987253,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,0,29,values,0.4457766580116242,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,0,29,values+mask_full,0.44886691968412795,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,0,29,values+mask_kept,0.4457766580116242,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,1,29,values,0.4350418354693087,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,1,29,values+mask_full,0.4381040091521178,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,1,29,values+mask_kept,0.4350418354693087,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,2,29,values,0.4292364408659933,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,2,29,values+mask_full,0.4352589213138783,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.5,2,29,values+mask_kept,0.4292364408659933,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,0,15,values,0.3892555437814817,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,0,15,values+mask_full,0.40141416260912555,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,0,15,values+mask_kept,0.3892555437814817,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,1,15,values,0.39694442440113203,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,1,15,values+mask_full,0.408140462939875,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,1,15,values+mask_kept,0.39694442440113203,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,2,15,values,0.3837272092832499,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,2,15,values+mask_full,0.3912660403980528,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.25,2,15,values+mask_kept,0.3837272092832499,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,0,6,values,0.3325867878506818,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,0,6,values+mask_full,0.37237442606938465,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,0,6,values+mask_kept,0.3325867878506818,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,1,6,values,0.3029491004159605,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,1,6,values+mask_full,0.3736098571769491,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,1,6,values+mask_kept,0.3029491004159605,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,2,6,values,0.3277806955073838,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,2,6,values+mask_full,0.3682347314296631,0.10807909099042677,33531,57
cand_mimic4_regime,holdout,0.1,2,6,values+mask_kept,0.3277806955073838,0.10807909099042677,33531,57
