dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
cand_nhanes,holdout,0.0,-1,0,mask_full,0.3234752153306263,0.07251104315324498,14715,52
cand_nhanes,holdout,1.0,0,52,values,0.572286156831324,0.07251104315324498,14715,52
cand_nhanes,holdout,1.0,0,52,values+mask_full,0.572286156831324,0.07251104315324498,14715,52
cand_nhanes,holdout,1.0,0,52,values+mask_kept,0.572286156831324,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,0,39,values,0.5617971699374462,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,0,39,values+mask_full,0.5618497061531653,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,0,39,values+mask_kept,0.5617971699374462,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,1,39,values,0.565577932665081,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,1,39,values+mask_full,0.5673494855735349,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,1,39,values+mask_kept,0.565577932665081,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,2,39,values,0.537233096508089,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,2,39,values+mask_full,0.5368207074548285,0.07251104315324498,14715,52
cand_nhanes,holdout,0.75,2,39,values+mask_kept,0.537233096508089,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,0,26,values,0.5493404208835305,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,0,26,values+mask_full,0.5511107504691134,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,0,26,values+mask_kept,0.5493404208835305,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,1,26,values,0.5058627887391147,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,1,26,values+mask_full,0.5047304470590563,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,1,26,values+mask_kept,0.5058627887391147,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,2,26,values,0.4952308034556355,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,2,26,values+mask_full,0.49869372379126437,0.07251104315324498,14715,52
cand_nhanes,holdout,0.5,2,26,values+mask_kept,0.4952308034556355,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,0,13,values,0.5336271762552786,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,0,13,values+mask_full,0.5350280180770131,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,0,13,values+mask_kept,0.5336271762552786,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,1,13,values,0.37866355977982413,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,1,13,values+mask_full,0.49349143978425986,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,1,13,values+mask_kept,0.37866355977982413,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,2,13,values,0.42236101117182573,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,2,13,values+mask_full,0.4344442767816824,0.07251104315324498,14715,52
cand_nhanes,holdout,0.25,2,13,values+mask_kept,0.42236101117182573,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,0,6,values,0.20489861975973728,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,0,6,values+mask_full,0.4039536843605159,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,0,6,values+mask_kept,0.20489861975973728,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,1,6,values,0.2639343576195082,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,1,6,values+mask_full,0.42316393244550554,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,1,6,values+mask_kept,0.2639343576195082,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,2,6,values,0.27633279341460587,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,2,6,values+mask_full,0.45399311063937153,0.07251104315324498,14715,52
cand_nhanes,holdout,0.1,2,6,values+mask_kept,0.27633279341460587,0.07251104315324498,14715,52
