dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
cand_porto,holdout,0.0,-1,0,mask_full,0.04392711807022323,0.03645,60000,57
cand_porto,holdout,1.0,0,57,values,0.058764666821721,0.03645,60000,57
cand_porto,holdout,1.0,0,57,values+mask_full,0.058764666821721,0.03645,60000,57
cand_porto,holdout,1.0,0,57,values+mask_kept,0.058764666821721,0.03645,60000,57
cand_porto,holdout,0.75,0,43,values,0.057836881635979734,0.03645,60000,57
cand_porto,holdout,0.75,0,43,values+mask_full,0.05753391306346971,0.03645,60000,57
cand_porto,holdout,0.75,0,43,values+mask_kept,0.057836881635979734,0.03645,60000,57
cand_porto,holdout,0.75,1,43,values,0.05424838678035336,0.03645,60000,57
cand_porto,holdout,0.75,1,43,values+mask_full,0.05400798068593154,0.03645,60000,57
cand_porto,holdout,0.75,1,43,values+mask_kept,0.05424838678035336,0.03645,60000,57
cand_porto,holdout,0.75,2,43,values,0.05826625025822724,0.03645,60000,57
cand_porto,holdout,0.75,2,43,values+mask_full,0.05831665062248708,0.03645,60000,57
cand_porto,holdout,0.75,2,43,values+mask_kept,0.05826625025822724,0.03645,60000,57
cand_porto,holdout,0.5,0,29,values,0.05252979049403751,0.03645,60000,57
cand_porto,holdout,0.5,0,29,values+mask_full,0.05206851755234638,0.03645,60000,57
cand_porto,holdout,0.5,0,29,values+mask_kept,0.05252979049403751,0.03645,60000,57
cand_porto,holdout,0.5,1,29,values,0.0538381009689006,0.03645,60000,57
cand_porto,holdout,0.5,1,29,values+mask_full,0.053094077870987175,0.03645,60000,57
cand_porto,holdout,0.5,1,29,values+mask_kept,0.0538381009689006,0.03645,60000,57
cand_porto,holdout,0.5,2,29,values,0.05076688879753667,0.03645,60000,57
cand_porto,holdout,0.5,2,29,values+mask_full,0.05087352688715993,0.03645,60000,57
cand_porto,holdout,0.5,2,29,values+mask_kept,0.05076688879753667,0.03645,60000,57
cand_porto,holdout,0.25,0,15,values,0.05103314284966063,0.03645,60000,57
cand_porto,holdout,0.25,0,15,values+mask_full,0.05179641969242339,0.03645,60000,57
cand_porto,holdout,0.25,0,15,values+mask_kept,0.05103314284966063,0.03645,60000,57
cand_porto,holdout,0.25,1,15,values,0.05199117019870239,0.03645,60000,57
cand_porto,holdout,0.25,1,15,values+mask_full,0.052491361529822984,0.03645,60000,57
cand_porto,holdout,0.25,1,15,values+mask_kept,0.05199117019870239,0.03645,60000,57
cand_porto,holdout,0.25,2,15,values,0.04877602358817991,0.03645,60000,57
cand_porto,holdout,0.25,2,15,values+mask_full,0.05024166468185479,0.03645,60000,57
cand_porto,holdout,0.25,2,15,values+mask_kept,0.04877602358817991,0.03645,60000,57
cand_porto,holdout,0.1,0,6,values,0.04917838315578123,0.03645,60000,57
cand_porto,holdout,0.1,0,6,values+mask_full,0.05028687325285162,0.03645,60000,57
cand_porto,holdout,0.1,0,6,values+mask_kept,0.04917838315578123,0.03645,60000,57
cand_porto,holdout,0.1,1,6,values,0.04886690151074682,0.03645,60000,57
cand_porto,holdout,0.1,1,6,values+mask_full,0.0501372459454137,0.03645,60000,57
cand_porto,holdout,0.1,1,6,values+mask_kept,0.04886690151074682,0.03645,60000,57
cand_porto,holdout,0.1,2,6,values,0.046786663724078185,0.03645,60000,57
cand_porto,holdout,0.1,2,6,values+mask_full,0.04805093192098366,0.03645,60000,57
cand_porto,holdout,0.1,2,6,values+mask_kept,0.046786663724078185,0.03645,60000,57
