dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
sweep_42136,holdout,0.0,-1,0,mask_full,0.6121658398573306,0.5006666666666667,60000,11
sweep_42136,holdout,1.0,0,11,values,0.9999832223823185,0.5006666666666667,60000,11
sweep_42136,holdout,1.0,0,11,values+mask_full,0.9999832223823185,0.5006666666666667,60000,11
sweep_42136,holdout,1.0,0,11,values+mask_kept,0.9999832223823185,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,0,9,values,0.9999834826049798,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,0,9,values+mask_full,0.9999834826049798,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,0,9,values+mask_kept,0.9999834826049798,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,1,9,values,0.8469179303321082,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,1,9,values+mask_full,0.8501780688365752,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,1,9,values+mask_kept,0.8469179303321082,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,2,9,values,0.9999832037310095,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,2,9,values+mask_full,0.9999832085186305,0.5006666666666667,60000,11
sweep_42136,holdout,0.75,2,9,values+mask_kept,0.9999832037310095,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,0,6,values,0.9999784203152521,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,0,6,values+mask_full,0.9999850864950383,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,0,6,values+mask_kept,0.9999784203152521,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,1,6,values,0.7547319659925016,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,1,6,values+mask_full,0.7665860590767309,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,1,6,values+mask_kept,0.7547319659925016,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,2,6,values,0.9999713346510786,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,2,6,values+mask_full,0.999989805596738,0.5006666666666667,60000,11
sweep_42136,holdout,0.5,2,6,values+mask_kept,0.9999713346510786,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,0,3,values,0.8166232750848342,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,0,3,values+mask_full,0.8485182821324784,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,0,3,values+mask_kept,0.8166232750848342,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,1,3,values,0.9999715418830273,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,1,3,values+mask_full,0.9999850458966126,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,1,3,values+mask_kept,0.9999715418830273,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,2,3,values,0.6617599082562637,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,2,3,values+mask_full,0.7489396837247762,0.5006666666666667,60000,11
sweep_42136,holdout,0.25,2,3,values+mask_kept,0.6617599082562637,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,0,2,values,0.7631990986835191,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,0,2,values+mask_full,0.7801642033385876,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,0,2,values+mask_kept,0.7631990986835191,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,1,2,values,0.9999700929774574,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,1,2,values+mask_full,0.9999846975275802,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,1,2,values+mask_kept,0.9999700929774574,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,2,2,values,0.7003592922186934,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,2,2,values+mask_full,0.720684603101496,0.5006666666666667,60000,11
sweep_42136,holdout,0.1,2,2,values+mask_kept,0.7003592922186934,0.5006666666666667,60000,11
