dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_eicu_regime,-1,fit,lca_1,-12.803971471937171,24,40,2,47701,47496
cand_eicu_regime,-1,fit,lca_2,-10.704041382489864,24,40,2,47701,47496
cand_eicu_regime,-1,fit,lca_5,-9.232092188845058,24,40,2,47701,47496
cand_eicu_regime,-1,fit,lca_10,-8.711433442665838,24,40,2,47701,47496
cand_eicu_regime,-1,fit,lca_20,-8.082500329785608,24,40,2,47701,47496
cand_eicu_regime,-1,fit,lca_50,-7.737631589387705,24,40,2,47701,47496
cand_eicu_regime,-1,fit,lca_100,-7.6219456791113585,24,40,2,47701,47496
cand_eicu_regime,0,auroc,values,0.5471259132138611,24,40,2,47701,47496
cand_eicu_regime,0,auroc,panels_tree,0.7538026741899331,24,40,2,47701,47496
cand_eicu_regime,0,auroc,panels_l1,0.721599409939846,24,40,2,47701,47496
cand_eicu_regime,0,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,0,auroc,lca_2,0.5761658938748686,24,40,2,47701,47496
cand_eicu_regime,0,auroc,lca_5,0.6814755471768604,24,40,2,47701,47496
cand_eicu_regime,0,auroc,lca_10,0.6602322525482053,24,40,2,47701,47496
cand_eicu_regime,0,auroc,lca_20,0.7024879340983486,24,40,2,47701,47496
cand_eicu_regime,0,auroc,lca_50,0.7287171011595615,24,40,2,47701,47496
cand_eicu_regime,0,auroc,lca_100,0.7528916985678192,24,40,2,47701,47496
cand_eicu_regime,0,auroc,both,0.7579501946935878,24,40,2,47701,47496
cand_eicu_regime,1,auroc,values,0.513252377169,24,40,2,47701,47496
cand_eicu_regime,1,auroc,panels_tree,0.9970706113811438,24,40,2,47701,47496
cand_eicu_regime,1,auroc,panels_l1,0.9955827364731771,24,40,2,47701,47496
cand_eicu_regime,1,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,1,auroc,lca_2,0.9136078346365248,24,40,2,47701,47496
cand_eicu_regime,1,auroc,lca_5,0.9690231430085655,24,40,2,47701,47496
cand_eicu_regime,1,auroc,lca_10,0.9865469750481732,24,40,2,47701,47496
cand_eicu_regime,1,auroc,lca_20,0.99369291040061,24,40,2,47701,47496
cand_eicu_regime,1,auroc,lca_50,0.9945495159840647,24,40,2,47701,47496
cand_eicu_regime,1,auroc,lca_100,0.9959061537850318,24,40,2,47701,47496
cand_eicu_regime,1,auroc,both,0.9969224287666385,24,40,2,47701,47496
cand_eicu_regime,2,auroc,values,0.49951963455074105,24,40,2,47701,47496
cand_eicu_regime,2,auroc,panels_tree,0.9998812532580785,24,40,2,47701,47496
cand_eicu_regime,2,auroc,panels_l1,0.9996027432651756,24,40,2,47701,47496
cand_eicu_regime,2,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,2,auroc,lca_2,0.8902252685676983,24,40,2,47701,47496
cand_eicu_regime,2,auroc,lca_5,0.9701088338875066,24,40,2,47701,47496
cand_eicu_regime,2,auroc,lca_10,0.9990192539985867,24,40,2,47701,47496
cand_eicu_regime,2,auroc,lca_20,0.9988780308652493,24,40,2,47701,47496
cand_eicu_regime,2,auroc,lca_50,0.9992084692783039,24,40,2,47701,47496
cand_eicu_regime,2,auroc,lca_100,0.9990304817651059,24,40,2,47701,47496
cand_eicu_regime,2,auroc,both,0.9997566244537608,24,40,2,47701,47496
cand_eicu_regime,3,auroc,values,0.5221523587383973,24,40,2,47701,47496
cand_eicu_regime,3,auroc,panels_tree,0.9933090923474343,24,40,2,47701,47496
cand_eicu_regime,3,auroc,panels_l1,0.9909770594182362,24,40,2,47701,47496
cand_eicu_regime,3,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,3,auroc,lca_2,0.9888360943495359,24,40,2,47701,47496
cand_eicu_regime,3,auroc,lca_5,0.9899113482940343,24,40,2,47701,47496
cand_eicu_regime,3,auroc,lca_10,0.9894491633364646,24,40,2,47701,47496
cand_eicu_regime,3,auroc,lca_20,0.9899753866882134,24,40,2,47701,47496
cand_eicu_regime,3,auroc,lca_50,0.9911498924318171,24,40,2,47701,47496
cand_eicu_regime,3,auroc,lca_100,0.9921549708242449,24,40,2,47701,47496
cand_eicu_regime,3,auroc,both,0.9930770147391298,24,40,2,47701,47496
cand_eicu_regime,4,auroc,values,0.5052248203291156,24,40,2,47701,47496
cand_eicu_regime,4,auroc,panels_tree,0.9666873948749874,24,40,2,47701,47496
cand_eicu_regime,4,auroc,panels_l1,0.9546082273071241,24,40,2,47701,47496
cand_eicu_regime,4,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,4,auroc,lca_2,0.7994426458788753,24,40,2,47701,47496
cand_eicu_regime,4,auroc,lca_5,0.85954368716462,24,40,2,47701,47496
cand_eicu_regime,4,auroc,lca_10,0.9102830922255605,24,40,2,47701,47496
cand_eicu_regime,4,auroc,lca_20,0.9274621068635088,24,40,2,47701,47496
cand_eicu_regime,4,auroc,lca_50,0.943791087218042,24,40,2,47701,47496
cand_eicu_regime,4,auroc,lca_100,0.9611998612572209,24,40,2,47701,47496
cand_eicu_regime,4,auroc,both,0.9668094353866803,24,40,2,47701,47496
cand_eicu_regime,5,auroc,values,0.5157500300885656,24,40,2,47701,47496
cand_eicu_regime,5,auroc,panels_tree,0.9788042939632753,24,40,2,47701,47496
cand_eicu_regime,5,auroc,panels_l1,0.9598154418352726,24,40,2,47701,47496
cand_eicu_regime,5,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,5,auroc,lca_2,0.7193819495351867,24,40,2,47701,47496
cand_eicu_regime,5,auroc,lca_5,0.7865443130460186,24,40,2,47701,47496
cand_eicu_regime,5,auroc,lca_10,0.8664117718625575,24,40,2,47701,47496
cand_eicu_regime,5,auroc,lca_20,0.9267680036463507,24,40,2,47701,47496
cand_eicu_regime,5,auroc,lca_50,0.9804884662368888,24,40,2,47701,47496
cand_eicu_regime,5,auroc,lca_100,0.9814267768689021,24,40,2,47701,47496
cand_eicu_regime,5,auroc,both,0.9784584592166911,24,40,2,47701,47496
cand_eicu_regime,6,auroc,values,0.5177164625017042,24,40,2,47701,47496
cand_eicu_regime,6,auroc,panels_tree,0.9961374266610519,24,40,2,47701,47496
cand_eicu_regime,6,auroc,panels_l1,0.9950051671172268,24,40,2,47701,47496
cand_eicu_regime,6,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,6,auroc,lca_2,0.9641128937426525,24,40,2,47701,47496
cand_eicu_regime,6,auroc,lca_5,0.9791520943224261,24,40,2,47701,47496
cand_eicu_regime,6,auroc,lca_10,0.9807815540304361,24,40,2,47701,47496
cand_eicu_regime,6,auroc,lca_20,0.983207941876939,24,40,2,47701,47496
cand_eicu_regime,6,auroc,lca_50,0.9946497436981243,24,40,2,47701,47496
cand_eicu_regime,6,auroc,lca_100,0.9948762930016324,24,40,2,47701,47496
cand_eicu_regime,6,auroc,both,0.9958053410224976,24,40,2,47701,47496
cand_eicu_regime,7,auroc,values,0.5160137974018556,24,40,2,47701,47496
cand_eicu_regime,7,auroc,panels_tree,0.9991651932801766,24,40,2,47701,47496
cand_eicu_regime,7,auroc,panels_l1,0.998691970730246,24,40,2,47701,47496
cand_eicu_regime,7,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,7,auroc,lca_2,0.9981338174380344,24,40,2,47701,47496
cand_eicu_regime,7,auroc,lca_5,0.9976557143852515,24,40,2,47701,47496
cand_eicu_regime,7,auroc,lca_10,0.998294358502072,24,40,2,47701,47496
cand_eicu_regime,7,auroc,lca_20,0.9980273865931475,24,40,2,47701,47496
cand_eicu_regime,7,auroc,lca_50,0.9982271510935552,24,40,2,47701,47496
cand_eicu_regime,7,auroc,lca_100,0.9985109424553058,24,40,2,47701,47496
cand_eicu_regime,7,auroc,both,0.9991673280743512,24,40,2,47701,47496
cand_eicu_regime,8,auroc,values,0.5101702067642179,24,40,2,47701,47496
cand_eicu_regime,8,auroc,panels_tree,0.9996091359878593,24,40,2,47701,47496
cand_eicu_regime,8,auroc,panels_l1,0.9995379266577434,24,40,2,47701,47496
cand_eicu_regime,8,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,8,auroc,lca_2,0.9518946625168303,24,40,2,47701,47496
cand_eicu_regime,8,auroc,lca_5,0.990700804504563,24,40,2,47701,47496
cand_eicu_regime,8,auroc,lca_10,0.9983489886110037,24,40,2,47701,47496
cand_eicu_regime,8,auroc,lca_20,0.9993708631270299,24,40,2,47701,47496
cand_eicu_regime,8,auroc,lca_50,0.9992676014603693,24,40,2,47701,47496
cand_eicu_regime,8,auroc,lca_100,0.999432390138194,24,40,2,47701,47496
cand_eicu_regime,8,auroc,both,0.9996493736311801,24,40,2,47701,47496
cand_eicu_regime,9,auroc,values,0.5130282615396585,24,40,2,47701,47496
cand_eicu_regime,9,auroc,panels_tree,0.964860470438802,24,40,2,47701,47496
cand_eicu_regime,9,auroc,panels_l1,0.9357919125579358,24,40,2,47701,47496
cand_eicu_regime,9,auroc,lca_1,0.5,24,40,2,47701,47496
cand_eicu_regime,9,auroc,lca_2,0.8432634061703539,24,40,2,47701,47496
cand_eicu_regime,9,auroc,lca_5,0.8555966653300984,24,40,2,47701,47496
cand_eicu_regime,9,auroc,lca_10,0.8930937863243869,24,40,2,47701,47496
cand_eicu_regime,9,auroc,lca_20,0.915422356703559,24,40,2,47701,47496
cand_eicu_regime,9,auroc,lca_50,0.9515939786128204,24,40,2,47701,47496
cand_eicu_regime,9,auroc,lca_100,0.9631315483370202,24,40,2,47701,47496
