dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_mimic4_regime,-1,fit,lca_1,-7.405799723316523,16,40,2,33458,33531
cand_mimic4_regime,-1,fit,lca_2,-6.218681323228654,16,40,2,33458,33531
cand_mimic4_regime,-1,fit,lca_5,-5.393122660739634,16,40,2,33458,33531
cand_mimic4_regime,-1,fit,lca_10,-4.8733459138115816,16,40,2,33458,33531
cand_mimic4_regime,-1,fit,lca_20,-4.770625735669964,16,40,2,33458,33531
cand_mimic4_regime,-1,fit,lca_50,-4.749174427023148,16,40,2,33458,33531
cand_mimic4_regime,-1,fit,lca_100,-4.748590762317555,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,values,0.550675842203683,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,panels_tree,0.9371017597421574,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,panels_l1,0.9347230109527054,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,lca_1,0.5,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,lca_2,0.9271208662564785,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,lca_5,0.9265749188177139,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,lca_10,0.9310124677831089,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,lca_20,0.9336146908602173,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,lca_50,0.9360339635642014,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,lca_100,0.9362874067949041,16,40,2,33458,33531
cand_mimic4_regime,0,auroc,both,0.9360609862886426,16,40,2,33458,33531
cand_mimic4_regime,1,auroc,values,0.555352889979634,16,40,2,33458,33531
cand_mimic4_regime,1,auroc,panels_tree,0.9815250873061981,16,40,2,33458,33531
cand_mimic4_regime,1,auroc,panels_l1,0.979389936399113,16,40,2,33458,33531
cand_mimic4_regime,1,auroc,lca_1,0.5,16,40,2,33458,33531
cand_mimic4_regime,1,auroc,lca_2,0.8436993755493978,16,40,2,33458,33531
cand_mimic4_regime,1,auroc,lca_5,0.932100350093835,16,40,2,33458,33531
cand_mimic4_regime,1,auroc,lca_10,0.969744757826055,16,40,2,33458,33531
