dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_acs_income,-1,fit,lca_1,-5.394283405553794,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_2,-4.498444095847702,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_5,-4.326660023354537,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_10,-4.174953421128799,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_20,-4.167922736315198,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_50,-4.165706270507818,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_100,-4.166085500495023,11,20,23,60000,60000
cand_acs_income,0,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,0,auroc,panels_tree,0.9705666812323507,11,20,23,60000,60000
cand_acs_income,0,auroc,panels_l1,0.9700492605340287,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_2,0.7107350623436053,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_5,0.8881737978180615,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_10,0.967485087196964,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_20,0.9695807216607156,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_50,0.970391618678166,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_100,0.9700891704958202,11,20,23,60000,60000
cand_acs_income,0,auroc,both,1.0,11,20,23,60000,60000
cand_acs_income,1,auroc,values,0.9605097418494675,11,20,23,60000,60000
cand_acs_income,1,auroc,panels_tree,0.9505628907407206,11,20,23,60000,60000
cand_acs_income,1,auroc,panels_l1,0.9499689715398898,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_2,0.948521149970235,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_5,0.9414400903339585,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_10,0.9489661171901657,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_20,0.9498984432672354,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_50,0.9503995210078702,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_100,0.9503675330738572,11,20,23,60000,60000
cand_acs_income,1,auroc,both,0.9739223486384991,11,20,23,60000,60000
cand_acs_income,2,auroc,values,0.9827237414513679,11,20,23,60000,60000
cand_acs_income,2,auroc,panels_tree,0.98962909800057,11,20,23,60000,60000
cand_acs_income,2,auroc,panels_l1,0.9895234927099164,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_2,0.9878293805803572,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_5,0.9884752665511017,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_10,0.989155002730813,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_20,0.9893773550294453,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_50,0.9894699367163753,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_100,0.989481210225114,11,20,23,60000,60000
cand_acs_income,2,auroc,both,0.9936395736369681,11,20,23,60000,60000
cand_acs_income,3,auroc,values,0.9999999848285674,11,20,23,60000,60000
cand_acs_income,3,auroc,panels_tree,0.9384540279281729,11,20,23,60000,60000
cand_acs_income,3,auroc,panels_l1,0.9374599619575318,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_2,0.9226063743555755,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_5,0.93739825861781,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_10,0.9372698773942261,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_20,0.9381125942782174,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_50,0.9388012199796136,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_100,0.9384113658600283,11,20,23,60000,60000
cand_acs_income,3,auroc,both,0.9999999876380921,11,20,23,60000,60000
cand_acs_income,4,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,4,auroc,panels_tree,0.7221787131828102,11,20,23,60000,60000
cand_acs_income,4,auroc,panels_l1,0.7167802330083951,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_2,0.6042691593969924,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_5,0.6784559029500503,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_10,0.7142854790093125,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_20,0.7199875318716785,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_50,0.7213402316906159,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_100,0.7218308822861538,11,20,23,60000,60000
cand_acs_income,4,auroc,both,1.0,11,20,23,60000,60000
cand_acs_income,5,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,5,auroc,panels_tree,0.8597096191335667,11,20,23,60000,60000
cand_acs_income,5,auroc,panels_l1,0.8556787720980522,11,20,23,60000,60000
cand_acs_income,5,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,5,auroc,lca_2,0.4590630713228913,11,20,23,60000,60000
cand_acs_income,5,auroc,lca_5,0.8151279161422625,11,20,23,60000,60000
cand_acs_income,5,auroc,lca_10,0.8580156558397226,11,20,23,60000,60000
cand_acs_income,5,auroc,lca_20,0.8587579042280287,11,20,23,60000,60000
cand_acs_income,5,auroc,lca_50,0.8592287592483195,11,20,23,60000,60000
cand_acs_income,5,auroc,lca_100,0.8592571561142129,11,20,23,60000,60000
cand_acs_income,5,auroc,both,1.0,11,20,23,60000,60000
cand_acs_income,6,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,6,auroc,panels_tree,0.7708878320963733,11,20,23,60000,60000
cand_acs_income,6,auroc,panels_l1,0.7602803444172881,11,20,23,60000,60000
cand_acs_income,6,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,6,auroc,lca_2,0.5447866760595332,11,20,23,60000,60000
cand_acs_income,6,auroc,lca_5,0.6821190241031126,11,20,23,60000,60000
cand_acs_income,6,auroc,lca_10,0.7611360822292729,11,20,23,60000,60000
cand_acs_income,6,auroc,lca_20,0.7685106819758647,11,20,23,60000,60000
cand_acs_income,6,auroc,lca_50,0.7702942028597739,11,20,23,60000,60000
cand_acs_income,6,auroc,lca_100,0.7700607022731923,11,20,23,60000,60000
cand_acs_income,6,auroc,both,1.0,11,20,23,60000,60000
cand_acs_income,7,auroc,values,0.8988185496380577,11,20,23,60000,60000
cand_acs_income,7,auroc,panels_tree,0.7437238773177594,11,20,23,60000,60000
cand_acs_income,7,auroc,panels_l1,0.7362891023115143,11,20,23,60000,60000
cand_acs_income,7,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,7,auroc,lca_2,0.5844714781373886,11,20,23,60000,60000
cand_acs_income,7,auroc,lca_5,0.6696498471132404,11,20,23,60000,60000
cand_acs_income,7,auroc,lca_10,0.7387011985887392,11,20,23,60000,60000
cand_acs_income,7,auroc,lca_20,0.7417236665650323,11,20,23,60000,60000
cand_acs_income,7,auroc,lca_50,0.7430273655994534,11,20,23,60000,60000
cand_acs_income,7,auroc,lca_100,0.7432790794731973,11,20,23,60000,60000
cand_acs_income,7,auroc,both,0.8992168716594449,11,20,23,60000,60000
cand_acs_income,8,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,8,auroc,panels_tree,0.6576973776414935,11,20,23,60000,60000
cand_acs_income,8,auroc,panels_l1,0.6539257685996079,11,20,23,60000,60000
cand_acs_income,8,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,8,auroc,lca_2,0.6004224151695496,11,20,23,60000,60000
cand_acs_income,8,auroc,lca_5,0.6459812117393932,11,20,23,60000,60000
cand_acs_income,8,auroc,lca_10,0.6524026235722438,11,20,23,60000,60000
cand_acs_income,8,auroc,lca_20,0.6559560837054491,11,20,23,60000,60000
cand_acs_income,8,auroc,lca_50,0.6573656576094735,11,20,23,60000,60000
cand_acs_income,8,auroc,lca_100,0.657447471214499,11,20,23,60000,60000
cand_acs_income,8,auroc,both,1.0,11,20,23,60000,60000
cand_acs_income,9,auroc,values,0.960357925948977,11,20,23,60000,60000
cand_acs_income,9,auroc,panels_tree,0.6434738886400382,11,20,23,60000,60000
cand_acs_income,9,auroc,panels_l1,0.6356102395593018,11,20,23,60000,60000
cand_acs_income,9,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,9,auroc,lca_2,0.5956245040614984,11,20,23,60000,60000
cand_acs_income,9,auroc,lca_5,0.6224559071443359,11,20,23,60000,60000
cand_acs_income,9,auroc,lca_10,0.6328287145561872,11,20,23,60000,60000
cand_acs_income,9,auroc,lca_20,0.6386664208861819,11,20,23,60000,60000
cand_acs_income,9,auroc,lca_50,0.6422972991457401,11,20,23,60000,60000
cand_acs_income,9,auroc,lca_100,0.6412604831274472,11,20,23,60000,60000
cand_acs_income,9,auroc,both,0.9605077212505713,11,20,23,60000,60000
cand_acs_income,10,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,10,auroc,panels_tree,0.8830223398765243,11,20,23,60000,60000
cand_acs_income,10,auroc,panels_l1,0.8786007384235854,11,20,23,60000,60000
cand_acs_income,10,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,10,auroc,lca_2,0.5398505512300033,11,20,23,60000,60000
cand_acs_income,10,auroc,lca_5,0.8509648577379183,11,20,23,60000,60000
cand_acs_income,10,auroc,lca_10,0.8769706252565493,11,20,23,60000,60000
cand_acs_income,10,auroc,lca_20,0.8810007431982069,11,20,23,60000,60000
cand_acs_income,10,auroc,lca_50,0.8830742601253962,11,20,23,60000,60000
cand_acs_income,10,auroc,lca_100,0.8822729370251934,11,20,23,60000,60000
cand_acs_income,10,auroc,both,1.0,11,20,23,60000,60000
