dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_airbnb,-1,fit,lca_1,-1.6625310431087537,4,11,18,60000,60000
cand_airbnb,-1,fit,lca_2,-1.5519175298222676,4,11,18,60000,60000
cand_airbnb,-1,fit,lca_5,-1.5492650016680305,4,11,18,60000,60000
cand_airbnb,-1,fit,lca_10,-1.5493055186772853,4,11,18,60000,60000
cand_airbnb,0,auroc,values,0.742522371385093,4,11,18,60000,60000
cand_airbnb,0,auroc,panels_tree,0.7707383379377252,4,11,18,60000,60000
cand_airbnb,0,auroc,panels_l1,0.76932579837964,4,11,18,60000,60000
cand_airbnb,0,auroc,lca_1,0.5,4,11,18,60000,60000
cand_airbnb,0,auroc,lca_2,0.76932579837964,4,11,18,60000,60000
cand_airbnb,0,auroc,lca_5,0.7707383379377252,4,11,18,60000,60000
cand_airbnb,0,auroc,lca_10,0.7697493752654893,4,11,18,60000,60000
cand_airbnb,0,auroc,both,0.7926780243855196,4,11,18,60000,60000
cand_airbnb,1,auroc,values,0.8699040886661702,4,11,18,60000,60000
cand_airbnb,1,auroc,panels_tree,0.5424382165232494,4,11,18,60000,60000
cand_airbnb,1,auroc,panels_l1,0.5339791714873544,4,11,18,60000,60000
cand_airbnb,1,auroc,lca_1,0.5,4,11,18,60000,60000
cand_airbnb,1,auroc,lca_2,0.5007561528684664,4,11,18,60000,60000
cand_airbnb,1,auroc,lca_5,0.5423416469751678,4,11,18,60000,60000
cand_airbnb,1,auroc,lca_10,0.5423376687571629,4,11,18,60000,60000
cand_airbnb,1,auroc,both,0.8714237622293894,4,11,18,60000,60000
cand_airbnb,2,auroc,values,0.8466383636033887,4,11,18,60000,60000
cand_airbnb,2,auroc,panels_tree,0.8797817671666723,4,11,18,60000,60000
cand_airbnb,2,auroc,panels_l1,0.8588160949807716,4,11,18,60000,60000
cand_airbnb,2,auroc,lca_1,0.5,4,11,18,60000,60000
cand_airbnb,2,auroc,lca_2,0.8512663989284524,4,11,18,60000,60000
cand_airbnb,2,auroc,lca_5,0.8797817671666723,4,11,18,60000,60000
cand_airbnb,2,auroc,lca_10,0.8802182695240555,4,11,18,60000,60000
cand_airbnb,2,auroc,both,0.9220591350997055,4,11,18,60000,60000
cand_airbnb,3,auroc,values,0.9999324374689978,4,11,18,60000,60000
cand_airbnb,3,auroc,panels_tree,0.5263687266723391,4,11,18,60000,60000
cand_airbnb,3,auroc,panels_l1,0.5241525137690878,4,11,18,60000,60000
cand_airbnb,3,auroc,lca_1,0.5,4,11,18,60000,60000
cand_airbnb,3,auroc,lca_2,0.49428148033928926,4,11,18,60000,60000
cand_airbnb,3,auroc,lca_5,0.5255588524895015,4,11,18,60000,60000
cand_airbnb,3,auroc,lca_10,0.5242759554741282,4,11,18,60000,60000
cand_airbnb,3,auroc,both,0.9999325709835407,4,11,18,60000,60000
