dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_eicu_regime,-1,fit,lca_1,-15.61590073087815,30,55,2,47701,47496
cand_eicu_regime,-1,fit,lca_2,-13.966489459571626,30,55,2,47701,47496
cand_eicu_regime,-1,fit,lca_5,-11.624935783462792,30,55,2,47701,47496
cand_eicu_regime,-1,fit,lca_10,-10.803659490414182,30,55,2,47701,47496
cand_eicu_regime,-1,fit,lca_20,-10.124488753373592,30,55,2,47701,47496
cand_eicu_regime,-1,fit,lca_50,-9.585373632042476,30,55,2,47701,47496
cand_eicu_regime,-1,fit,lca_100,-9.364016319965591,30,55,2,47701,47496
cand_eicu_regime,0,auroc,values,0.5471259132138611,30,55,2,47701,47496
cand_eicu_regime,0,auroc,panels_tree,0.7634702823149059,30,55,2,47701,47496
cand_eicu_regime,0,auroc,panels_l1,0.7322065006355688,30,55,2,47701,47496
cand_eicu_regime,0,auroc,lca_1,0.5,30,55,2,47701,47496
cand_eicu_regime,0,auroc,lca_2,0.6805618294984458,30,55,2,47701,47496
cand_eicu_regime,0,auroc,lca_5,0.6804206230870362,30,55,2,47701,47496
cand_eicu_regime,0,auroc,lca_10,0.6803290469458636,30,55,2,47701,47496
cand_eicu_regime,0,auroc,lca_20,0.7155523038415469,30,55,2,47701,47496
cand_eicu_regime,0,auroc,lca_50,0.732489438149438,30,55,2,47701,47496
cand_eicu_regime,0,auroc,lca_100,0.7520276159036836,30,55,2,47701,47496
cand_eicu_regime,0,auroc,both,0.7660025618206555,30,55,2,47701,47496
cand_eicu_regime,1,auroc,values,0.513252377169,30,55,2,47701,47496
cand_eicu_regime,1,auroc,panels_tree,0.9970718259644553,30,55,2,47701,47496
cand_eicu_regime,1,auroc,panels_l1,0.9959404002036829,30,55,2,47701,47496
cand_eicu_regime,1,auroc,lca_1,0.5,30,55,2,47701,47496
cand_eicu_regime,1,auroc,lca_2,0.9508049454216292,30,55,2,47701,47496
cand_eicu_regime,1,auroc,lca_5,0.9678885772738917,30,55,2,47701,47496
cand_eicu_regime,1,auroc,lca_10,0.992357220711243,30,55,2,47701,47496
cand_eicu_regime,1,auroc,lca_20,0.994206458307982,30,55,2,47701,47496
cand_eicu_regime,1,auroc,lca_50,0.9954269075046434,30,55,2,47701,47496
cand_eicu_regime,1,auroc,lca_100,0.9965490099582928,30,55,2,47701,47496
cand_eicu_regime,1,auroc,both,0.996954283974395,30,55,2,47701,47496
cand_eicu_regime,2,auroc,values,0.49951963455074105,30,55,2,47701,47496
cand_eicu_regime,2,auroc,panels_tree,0.9998823617318432,30,55,2,47701,47496
cand_eicu_regime,2,auroc,panels_l1,0.9995973469049935,30,55,2,47701,47496
cand_eicu_regime,2,auroc,lca_1,0.5,30,55,2,47701,47496
cand_eicu_regime,2,auroc,lca_2,0.905634925190655,30,55,2,47701,47496
cand_eicu_regime,2,auroc,lca_5,0.9685468483444837,30,55,2,47701,47496
cand_eicu_regime,2,auroc,lca_10,0.999195760566997,30,55,2,47701,47496
cand_eicu_regime,2,auroc,lca_20,0.9993514057783472,30,55,2,47701,47496
cand_eicu_regime,2,auroc,lca_50,0.9995998648091093,30,55,2,47701,47496
cand_eicu_regime,2,auroc,lca_100,0.9996441620429405,30,55,2,47701,47496
cand_eicu_regime,2,auroc,both,0.9997786985764717,30,55,2,47701,47496
cand_eicu_regime,3,auroc,values,0.5221523587383973,30,55,2,47701,47496
cand_eicu_regime,3,auroc,panels_tree,0.9932197789130539,30,55,2,47701,47496
cand_eicu_regime,3,auroc,panels_l1,0.9910695745235556,30,55,2,47701,47496
cand_eicu_regime,3,auroc,lca_1,0.5,30,55,2,47701,47496
cand_eicu_regime,3,auroc,lca_2,0.9270021488759572,30,55,2,47701,47496
cand_eicu_regime,3,auroc,lca_5,0.9885918867120953,30,55,2,47701,47496
cand_eicu_regime,3,auroc,lca_10,0.9902156786845833,30,55,2,47701,47496
cand_eicu_regime,3,auroc,lca_20,0.9910388688324921,30,55,2,47701,47496
cand_eicu_regime,3,auroc,lca_50,0.9920085497301343,30,55,2,47701,47496
cand_eicu_regime,3,auroc,lca_100,0.9925190110095687,30,55,2,47701,47496
cand_eicu_regime,3,auroc,both,0.9932007629280837,30,55,2,47701,47496
cand_eicu_regime,4,auroc,values,0.5052248203291156,30,55,2,47701,47496
cand_eicu_regime,4,auroc,panels_tree,0.9707529211803272,30,55,2,47701,47496
cand_eicu_regime,4,auroc,panels_l1,0.9586614469269349,30,55,2,47701,47496
cand_eicu_regime,4,auroc,lca_1,0.5,30,55,2,47701,47496
cand_eicu_regime,4,auroc,lca_2,0.8200155428530658,30,55,2,47701,47496
cand_eicu_regime,4,auroc,lca_5,0.8528520991451689,30,55,2,47701,47496
cand_eicu_regime,4,auroc,lca_10,0.9033423976382111,30,55,2,47701,47496
cand_eicu_regime,4,auroc,lca_20,0.9170275145258882,30,55,2,47701,47496
cand_eicu_regime,4,auroc,lca_50,0.943472885311624,30,55,2,47701,47496
cand_eicu_regime,4,auroc,lca_100,0.9612462968166338,30,55,2,47701,47496
cand_eicu_regime,4,auroc,both,0.9706175193265809,30,55,2,47701,47496
cand_eicu_regime,5,auroc,values,0.5157500300885656,30,55,2,47701,47496
cand_eicu_regime,5,auroc,panels_tree,0.9875024545442899,30,55,2,47701,47496
cand_eicu_regime,5,auroc,panels_l1,0.9736818052129386,30,55,2,47701,47496
cand_eicu_regime,5,auroc,lca_1,0.5,30,55,2,47701,47496
cand_eicu_regime,5,auroc,lca_2,0.7548220192377919,30,55,2,47701,47496
cand_eicu_regime,5,auroc,lca_5,0.758911155830154,30,55,2,47701,47496
cand_eicu_regime,5,auroc,lca_10,0.9029215188277737,30,55,2,47701,47496
cand_eicu_regime,5,auroc,lca_20,0.9702193243683903,30,55,2,47701,47496
cand_eicu_regime,5,auroc,lca_50,0.989202038148467,30,55,2,47701,47496
cand_eicu_regime,5,auroc,lca_100,0.9896634541336639,30,55,2,47701,47496
cand_eicu_regime,5,auroc,both,0.9876794735010681,30,55,2,47701,47496
cand_eicu_regime,6,auroc,values,0.5177164625017042,30,55,2,47701,47496
cand_eicu_regime,6,auroc,panels_tree,0.9960294685013638,30,55,2,47701,47496
cand_eicu_regime,6,auroc,panels_l1,0.9951265409679966,30,55,2,47701,47496
cand_eicu_regime,6,auroc,lca_1,0.5,30,55,2,47701,47496
cand_eicu_regime,6,auroc,lca_2,0.9227659425313883,30,55,2,47701,47496
cand_eicu_regime,6,auroc,lca_5,0.9823229323675381,30,55,2,47701,47496
cand_eicu_regime,6,auroc,lca_10,0.9884722168820578,30,55,2,47701,47496
cand_eicu_regime,6,auroc,lca_20,0.9903289954859666,30,55,2,47701,47496
cand_eicu_regime,6,auroc,lca_50,0.9937072234624424,30,55,2,47701,47496
cand_eicu_regime,6,auroc,lca_100,0.9941389821855406,30,55,2,47701,47496
cand_eicu_regime,6,auroc,both,0.9959916997764952,30,55,2,47701,47496
cand_eicu_regime,7,auroc,values,0.5160137974018556,30,55,2,47701,47496
cand_eicu_regime,7,auroc,panels_tree,0.99918943000723,30,55,2,47701,47496
cand_eicu_regime,7,auroc,panels_l1,0.9987959465618322,30,55,2,47701,47496
cand_eicu_regime,7,auroc,lca_1,0.5,30,55,2,47701,47496
cand_eicu_regime,7,auroc,lca_2,0.9305078439151144,30,55,2,47701,47496
cand_eicu_regime,7,auroc,lca_5,0.9970089307978762,30,55,2,47701,47496
cand_eicu_regime,7,auroc,lca_10,0.9987923923566375,30,55,2,47701,47496
cand_eicu_regime,7,auroc,lca_20,0.9980741976330675,30,55,2,47701,47496
cand_eicu_regime,7,auroc,lca_50,0.9986103216662442,30,55,2,47701,47496
cand_eicu_regime,7,auroc,lca_100,0.9985627566351901,30,55,2,47701,47496
cand_eicu_regime,7,auroc,both,0.9992312515335318,30,55,2,47701,47496
cand_eicu_regime,8,auroc,values,0.5101702067642179,30,55,2,47701,47496
cand_eicu_regime,8,auroc,panels_tree,0.9996444662322275,30,55,2,47701,47496
cand_eicu_regime,8,auroc,panels_l1,0.9995295104590771,30,55,2,47701,47496
