dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_higgs,-1,fit,lca_1,-1.699591671407596,3,11,19,60000,60000
cand_higgs,-1,fit,lca_2,-1.4838833284246882,3,11,19,60000,60000
cand_higgs,-1,fit,lca_5,-1.4838755835051731,3,11,19,60000,60000
cand_higgs,0,auroc,values,0.9948588772538662,3,11,19,60000,60000
cand_higgs,0,auroc,panels_tree,0.6793032859023601,3,11,19,60000,60000
cand_higgs,0,auroc,panels_l1,0.6793032859023601,3,11,19,60000,60000
cand_higgs,0,auroc,lca_1,0.5,3,11,19,60000,60000
cand_higgs,0,auroc,lca_2,0.6793032859023601,3,11,19,60000,60000
cand_higgs,0,auroc,lca_5,0.6793032859023601,3,11,19,60000,60000
cand_higgs,0,auroc,both,0.9948588772538662,3,11,19,60000,60000
cand_higgs,1,auroc,values,1.0,3,11,19,60000,60000
cand_higgs,1,auroc,panels_tree,0.7878640915642521,3,11,19,60000,60000
cand_higgs,1,auroc,panels_l1,0.7878640915642521,3,11,19,60000,60000
cand_higgs,1,auroc,lca_1,0.5,3,11,19,60000,60000
cand_higgs,1,auroc,lca_2,0.7878640915642521,3,11,19,60000,60000
cand_higgs,1,auroc,lca_5,0.7878640915642521,3,11,19,60000,60000
cand_higgs,1,auroc,both,1.0,3,11,19,60000,60000
cand_higgs,2,auroc,values,1.0,3,11,19,60000,60000
cand_higgs,2,auroc,panels_tree,0.7827457341058716,3,11,19,60000,60000
cand_higgs,2,auroc,panels_l1,0.7827457341058716,3,11,19,60000,60000
cand_higgs,2,auroc,lca_1,0.5,3,11,19,60000,60000
cand_higgs,2,auroc,lca_2,0.7827457341058716,3,11,19,60000,60000
cand_higgs,2,auroc,lca_5,0.7827457341058716,3,11,19,60000,60000
cand_higgs,2,auroc,both,1.0,3,11,19,60000,60000
