dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_mimic4_regime,-1,fit,lca_1,-10.61593953016892,23,55,2,33531,33458
cand_mimic4_regime,-1,fit,lca_2,-8.787098034125723,23,55,2,33531,33458
cand_mimic4_regime,-1,fit,lca_5,-7.624121343001608,23,55,2,33531,33458
cand_mimic4_regime,-1,fit,lca_10,-7.049620090140889,23,55,2,33531,33458
cand_mimic4_regime,-1,fit,lca_20,-6.620716136846362,23,55,2,33531,33458
cand_mimic4_regime,-1,fit,lca_50,-6.454694827515002,23,55,2,33531,33458
cand_mimic4_regime,-1,fit,lca_100,-6.42269265176342,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,values,0.5520568660015445,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,panels_tree,0.9605422865974051,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,panels_l1,0.9584838906318078,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,lca_1,0.5,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,lca_2,0.9466679996420349,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,lca_5,0.9389512925108418,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,lca_10,0.9469427179412403,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,lca_20,0.9518406527836705,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,lca_50,0.9583308384223471,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,lca_100,0.9589857095405006,23,55,2,33531,33458
cand_mimic4_regime,0,auroc,both,0.9605663623721628,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,values,0.5593969593877377,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,panels_tree,0.9859076900758605,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,panels_l1,0.9853089705757472,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,lca_1,0.5,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,lca_2,0.8286728347557177,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,lca_5,0.9524261253467505,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,lca_10,0.9625962630562162,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,lca_20,0.9695019487021626,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,lca_50,0.9750327953393908,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,lca_100,0.982760332632756,23,55,2,33531,33458
cand_mimic4_regime,1,auroc,both,0.9855930051941802,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,values,0.5499392179738476,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,panels_tree,0.9902226419371376,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,panels_l1,0.9905501624724273,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,lca_1,0.5,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,lca_2,0.8560912855739939,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,lca_5,0.9919065722895846,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,lca_10,0.9909363993035405,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,lca_20,0.9886990145630821,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,lca_50,0.9913471252668666,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,lca_100,0.9906978463450432,23,55,2,33531,33458
cand_mimic4_regime,2,auroc,both,0.9925597118510747,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,values,0.5128045572727973,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,panels_tree,0.9801171744726757,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,panels_l1,0.9767464954130245,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,lca_1,0.5,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,lca_2,0.7410789114951157,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,lca_5,0.9794493866128835,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,lca_10,0.9785981670659426,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,lca_20,0.9767167509881669,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,lca_50,0.9770395777646642,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,lca_100,0.9769610404182186,23,55,2,33531,33458
cand_mimic4_regime,3,auroc,both,0.9787608101379022,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,values,0.5277428795500427,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,panels_tree,0.9812215390753615,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,panels_l1,0.9809092064147241,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,lca_1,0.5,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,lca_2,0.5420560401151792,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,lca_5,0.9808029327169432,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,lca_10,0.9798224280862612,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,lca_20,0.9802108168866525,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,lca_50,0.979068940543925,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,lca_100,0.9773946321947524,23,55,2,33531,33458
cand_mimic4_regime,4,auroc,both,0.981476763771152,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,values,0.5856140860651499,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,panels_tree,0.9918485473917739,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,panels_l1,0.9907441940195469,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,lca_1,0.5,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,lca_2,0.7069023510133559,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,lca_5,0.9865647540176934,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,lca_10,0.9878994515624275,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,lca_20,0.9904627167162157,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,lca_50,0.9906195126818296,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,lca_100,0.9913799875317509,23,55,2,33531,33458
cand_mimic4_regime,5,auroc,both,0.9919954016050994,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,values,0.5912477307011196,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,panels_tree,0.9875695955587763,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,panels_l1,0.9843257595259086,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,lca_1,0.5,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,lca_2,0.7250828778704833,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,lca_5,0.9775955328740273,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,lca_10,0.9780128752574726,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,lca_20,0.9830126151798113,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,lca_50,0.9838694793190378,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,lca_100,0.9870309310594657,23,55,2,33531,33458
cand_mimic4_regime,6,auroc,both,0.9863595383619401,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,values,0.5498949964483849,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,panels_tree,0.9350460977303262,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,panels_l1,0.9323065472424028,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,lca_1,0.5,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,lca_2,0.9101642431462855,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,lca_5,0.9002598603391523,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,lca_10,0.9126926116634777,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,lca_20,0.9208914032410209,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,lca_50,0.9308799694675064,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,lca_100,0.9315255175300594,23,55,2,33531,33458
cand_mimic4_regime,7,auroc,both,0.9353684129157125,23,55,2,33531,33458
cand_mimic4_regime,8,auroc,values,0.5694981949885567,23,55,2,33531,33458
cand_mimic4_regime,8,auroc,panels_tree,0.9751954782796645,23,55,2,33531,33458
