dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_nhanes,-1,fit,lca_1,-3.824054591759717,16,47,5,14715,14910
cand_nhanes,-1,fit,lca_2,-3.2950954773283363,16,47,5,14715,14910
cand_nhanes,-1,fit,lca_5,-2.9567017910898348,16,47,5,14715,14910
cand_nhanes,-1,fit,lca_10,-2.731134341459988,16,47,5,14715,14910
cand_nhanes,-1,fit,lca_20,-2.690928229963127,16,47,5,14715,14910
cand_nhanes,-1,fit,lca_50,-2.6442463259918894,16,47,5,14715,14910
cand_nhanes,-1,fit,lca_100,-2.6227184995111057,16,47,5,14715,14910
cand_nhanes,0,auroc,values,1.0,16,47,5,14715,14910
cand_nhanes,0,auroc,panels_tree,0.8950042064190954,16,47,5,14715,14910
cand_nhanes,0,auroc,panels_l1,0.8957672439779243,16,47,5,14715,14910
cand_nhanes,0,auroc,lca_1,0.5,16,47,5,14715,14910
cand_nhanes,0,auroc,lca_2,0.6048254538907193,16,47,5,14715,14910
cand_nhanes,0,auroc,lca_5,0.8537098790935354,16,47,5,14715,14910
cand_nhanes,0,auroc,lca_10,0.8782431241586381,16,47,5,14715,14910
cand_nhanes,0,auroc,lca_20,0.8802206170080376,16,47,5,14715,14910
cand_nhanes,0,auroc,lca_50,0.8855551318625013,16,47,5,14715,14910
cand_nhanes,0,auroc,lca_100,0.8866193746165699,16,47,5,14715,14910
cand_nhanes,0,auroc,both,1.0,16,47,5,14715,14910
cand_nhanes,1,auroc,values,0.6280424615248961,16,47,5,14715,14910
cand_nhanes,1,auroc,panels_tree,0.5466958966559993,16,47,5,14715,14910
cand_nhanes,1,auroc,panels_l1,0.5457298708582328,16,47,5,14715,14910
cand_nhanes,1,auroc,lca_1,0.5,16,47,5,14715,14910
cand_nhanes,1,auroc,lca_2,0.553707432033345,16,47,5,14715,14910
cand_nhanes,1,auroc,lca_5,0.5521880046723855,16,47,5,14715,14910
cand_nhanes,1,auroc,lca_10,0.5405585965542798,16,47,5,14715,14910
cand_nhanes,1,auroc,lca_20,0.5481269386752687,16,47,5,14715,14910
cand_nhanes,1,auroc,lca_50,0.5459222635536785,16,47,5,14715,14910
cand_nhanes,1,auroc,lca_100,0.5446076548098084,16,47,5,14715,14910
cand_nhanes,1,auroc,both,0.6422786846277788,16,47,5,14715,14910
cand_nhanes,2,auroc,values,1.0,16,47,5,14715,14910
cand_nhanes,2,auroc,panels_tree,0.9935038128990443,16,47,5,14715,14910
cand_nhanes,2,auroc,panels_l1,0.9934512459147509,16,47,5,14715,14910
cand_nhanes,2,auroc,lca_1,0.5,16,47,5,14715,14910
cand_nhanes,2,auroc,lca_2,0.6173313843650455,16,47,5,14715,14910
cand_nhanes,2,auroc,lca_5,0.9874787980749342,16,47,5,14715,14910
cand_nhanes,2,auroc,lca_10,0.9863606602589736,16,47,5,14715,14910
cand_nhanes,2,auroc,lca_20,0.9890378807727844,16,47,5,14715,14910
cand_nhanes,2,auroc,lca_50,0.9919430754167988,16,47,5,14715,14910
cand_nhanes,2,auroc,lca_100,0.9918478701545844,16,47,5,14715,14910
cand_nhanes,2,auroc,both,1.0,16,47,5,14715,14910
cand_nhanes,3,auroc,values,0.6396133252147977,16,47,5,14715,14910
