dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_porto,-1,fit,lca_1,-2.1227632115673964,5,5,52,60000,60000
cand_porto,-1,fit,lca_2,-1.8586573945043718,5,5,52,60000,60000
cand_porto,-1,fit,lca_5,-1.8571567459153995,5,5,52,60000,60000
cand_porto,-1,fit,lca_10,-1.8570092619527403,5,5,52,60000,60000
cand_porto,-1,fit,lca_20,-1.8569762546573494,5,5,52,60000,60000
cand_porto,0,auroc,values,0.9575685399622258,5,5,52,60000,60000
cand_porto,0,auroc,panels_tree,0.5379147840554951,5,5,52,60000,60000
cand_porto,0,auroc,panels_l1,0.5379242307889586,5,5,52,60000,60000
cand_porto,0,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,0,auroc,lca_2,0.48591624861659205,5,5,52,60000,60000
cand_porto,0,auroc,lca_5,0.532049590649989,5,5,52,60000,60000
cand_porto,0,auroc,lca_10,0.5378883265890837,5,5,52,60000,60000
cand_porto,0,auroc,lca_20,0.5365276597219496,5,5,52,60000,60000
cand_porto,0,auroc,both,0.9577587915061411,5,5,52,60000,60000
cand_porto,1,auroc,values,0.8572540255829707,5,5,52,60000,60000
cand_porto,1,auroc,panels_tree,0.8494342190765727,5,5,52,60000,60000
cand_porto,1,auroc,panels_l1,0.8493560596209473,5,5,52,60000,60000
cand_porto,1,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,1,auroc,lca_2,0.8494516067141186,5,5,52,60000,60000
cand_porto,1,auroc,lca_5,0.8494516067141186,5,5,52,60000,60000
cand_porto,1,auroc,lca_10,0.8494537269346848,5,5,52,60000,60000
cand_porto,1,auroc,lca_20,0.8496695041200968,5,5,52,60000,60000
cand_porto,1,auroc,both,0.9993862372963713,5,5,52,60000,60000
cand_porto,2,auroc,values,0.8714694632322385,5,5,52,60000,60000
cand_porto,2,auroc,panels_tree,0.7895419146497279,5,5,52,60000,60000
cand_porto,2,auroc,panels_l1,0.7895440787590036,5,5,52,60000,60000
cand_porto,2,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,2,auroc,lca_2,0.7669634954309587,5,5,52,60000,60000
cand_porto,2,auroc,lca_5,0.7892939232167362,5,5,52,60000,60000
cand_porto,2,auroc,lca_10,0.7898358816189618,5,5,52,60000,60000
cand_porto,2,auroc,lca_20,0.7895286780010596,5,5,52,60000,60000
cand_porto,2,auroc,both,0.9993001284072218,5,5,52,60000,60000
cand_porto,3,auroc,values,0.9981654850953803,5,5,52,60000,60000
cand_porto,3,auroc,panels_tree,0.8675820636819831,5,5,52,60000,60000
cand_porto,3,auroc,panels_l1,0.8675981099510511,5,5,52,60000,60000
cand_porto,3,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,3,auroc,lca_2,0.8643538644183285,5,5,52,60000,60000
cand_porto,3,auroc,lca_5,0.867531289255705,5,5,52,60000,60000
cand_porto,3,auroc,lca_10,0.8686810703249059,5,5,52,60000,60000
cand_porto,3,auroc,lca_20,0.8689783681564504,5,5,52,60000,60000
cand_porto,3,auroc,both,0.9992476082725881,5,5,52,60000,60000
cand_porto,4,auroc,values,0.9602924382290668,5,5,52,60000,60000
cand_porto,4,auroc,panels_tree,0.6064083845115567,5,5,52,60000,60000
cand_porto,4,auroc,panels_l1,0.606426149637405,5,5,52,60000,60000
cand_porto,4,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,4,auroc,lca_2,0.5884787854096353,5,5,52,60000,60000
cand_porto,4,auroc,lca_5,0.5973641224298105,5,5,52,60000,60000
cand_porto,4,auroc,lca_10,0.6072628480344695,5,5,52,60000,60000
cand_porto,4,auroc,lca_20,0.6054335667725989,5,5,52,60000,60000
cand_porto,4,auroc,both,0.9791240549859561,5,5,52,60000,60000
