dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
sweep_41275,-1,fit,lca_1,-1.1997033357781828,3,3,4,60000,60000
sweep_41275,-1,fit,lca_2,-1.169469363366326,3,3,4,60000,60000
sweep_41275,-1,fit,lca_5,-1.1692615728017255,3,3,4,60000,60000
sweep_41275,0,auroc,values,0.8506706430828266,3,3,4,60000,60000
sweep_41275,0,auroc,panels_tree,0.5162552276628015,3,3,4,60000,60000
sweep_41275,0,auroc,panels_l1,0.5136664248708097,3,3,4,60000,60000
sweep_41275,0,auroc,lca_1,0.5,3,3,4,60000,60000
sweep_41275,0,auroc,lca_2,0.5145941133435838,3,3,4,60000,60000
sweep_41275,0,auroc,lca_5,0.5162552276628015,3,3,4,60000,60000
sweep_41275,0,auroc,both,0.8581565949152672,3,3,4,60000,60000
sweep_41275,1,auroc,values,0.9991136786319128,3,3,4,60000,60000
sweep_41275,1,auroc,panels_tree,0.6165714719574272,3,3,4,60000,60000
sweep_41275,1,auroc,panels_l1,0.6163365475473435,3,3,4,60000,60000
sweep_41275,1,auroc,lca_1,0.5,3,3,4,60000,60000
sweep_41275,1,auroc,lca_2,0.6163365475473435,3,3,4,60000,60000
sweep_41275,1,auroc,lca_5,0.6165714719574272,3,3,4,60000,60000
sweep_41275,1,auroc,both,0.99915254530418,3,3,4,60000,60000
sweep_41275,2,auroc,values,0.8768145955694329,3,3,4,60000,60000
sweep_41275,2,auroc,panels_tree,0.5939473831659982,3,3,4,60000,60000
sweep_41275,2,auroc,panels_l1,0.5937486663616053,3,3,4,60000,60000
sweep_41275,2,auroc,lca_1,0.5,3,3,4,60000,60000
sweep_41275,2,auroc,lca_2,0.5941196548141369,3,3,4,60000,60000
sweep_41275,2,auroc,lca_5,0.5939473831659982,3,3,4,60000,60000
sweep_41275,2,auroc,both,0.8799774757072487,3,3,4,60000,60000
