dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_acs_income,-1,fit,lca_1,-5.244249842528211,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_2,-4.341280831435008,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_5,-4.162895205449336,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_10,-3.969716105790448,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_20,-3.959842356224144,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_50,-3.958525550293514,11,20,23,60000,60000
cand_acs_income,-1,fit,lca_100,-3.9581870283691982,11,20,23,60000,60000
cand_acs_income,0,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,0,auroc,panels_tree,0.9916550399170512,11,20,23,60000,60000
cand_acs_income,0,auroc,panels_l1,0.9912908320165419,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_2,0.8486159762845755,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_5,0.9523568633188417,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_10,0.9897671001196793,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_20,0.9909503405887645,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_50,0.9904598008220612,11,20,23,60000,60000
cand_acs_income,0,auroc,lca_100,0.9913179365568069,11,20,23,60000,60000
cand_acs_income,0,auroc,both,1.0,11,20,23,60000,60000
cand_acs_income,1,auroc,values,0.960034029036947,11,20,23,60000,60000
cand_acs_income,1,auroc,panels_tree,0.9521795540207749,11,20,23,60000,60000
cand_acs_income,1,auroc,panels_l1,0.951837858133573,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_2,0.9503305568798206,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_5,0.9423564977059515,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_10,0.9506351606716832,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_20,0.9515384381592891,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_50,0.9520942363417639,11,20,23,60000,60000
cand_acs_income,1,auroc,lca_100,0.952078562243502,11,20,23,60000,60000
cand_acs_income,1,auroc,both,0.9738475115384195,11,20,23,60000,60000
cand_acs_income,2,auroc,values,0.9829978334711574,11,20,23,60000,60000
cand_acs_income,2,auroc,panels_tree,0.9899441878315445,11,20,23,60000,60000
cand_acs_income,2,auroc,panels_l1,0.989860413077497,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_2,0.9876986176037573,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_5,0.9888582627074984,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_10,0.9896337816085019,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_20,0.9899073272483195,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_50,0.9900326923941701,11,20,23,60000,60000
cand_acs_income,2,auroc,lca_100,0.9899740085892802,11,20,23,60000,60000
cand_acs_income,2,auroc,both,0.993835672106879,11,20,23,60000,60000
cand_acs_income,3,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,3,auroc,panels_tree,0.9406453092899552,11,20,23,60000,60000
cand_acs_income,3,auroc,panels_l1,0.9398200698408116,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_2,0.9267840797728609,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_5,0.9386807479376201,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_10,0.9383523237317081,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_20,0.9406437933578988,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_50,0.9407677489179639,11,20,23,60000,60000
cand_acs_income,3,auroc,lca_100,0.9404075733576925,11,20,23,60000,60000
cand_acs_income,3,auroc,both,1.0,11,20,23,60000,60000
cand_acs_income,4,auroc,values,1.0,11,20,23,60000,60000
cand_acs_income,4,auroc,panels_tree,0.7043894533881623,11,20,23,60000,60000
cand_acs_income,4,auroc,panels_l1,0.6993493512775738,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_1,0.5,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_2,0.5621804205099121,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_5,0.6557688457936122,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_10,0.6976796487107042,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_20,0.7041774917105299,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_50,0.7044007593879169,11,20,23,60000,60000
cand_acs_income,4,auroc,lca_100,0.7045627058709576,11,20,23,60000,60000
