dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_airbnb,-1,fit,lca_1,-1.6635552254426096,4,11,18,60000,60000
cand_airbnb,-1,fit,lca_2,-1.5558035283534895,4,11,18,60000,60000
cand_airbnb,-1,fit,lca_5,-1.5528672815022675,4,11,18,60000,60000
cand_airbnb,-1,fit,lca_10,-1.5529285987932475,4,11,18,60000,60000
cand_airbnb,0,auroc,values,0.7362818744839762,4,11,18,60000,60000
cand_airbnb,0,auroc,panels_tree,0.7654301190705609,4,11,18,60000,60000
cand_airbnb,0,auroc,panels_l1,0.7638201438904721,4,11,18,60000,60000
cand_airbnb,0,auroc,lca_1,0.5,4,11,18,60000,60000
cand_airbnb,0,auroc,lca_2,0.7638201438904721,4,11,18,60000,60000
cand_airbnb,0,auroc,lca_5,0.7654301190705609,4,11,18,60000,60000
cand_airbnb,0,auroc,lca_10,0.7654301190705609,4,11,18,60000,60000
cand_airbnb,0,auroc,both,0.7904372793248002,4,11,18,60000,60000
cand_airbnb,1,auroc,values,0.8722034634010247,4,11,18,60000,60000
cand_airbnb,1,auroc,panels_tree,0.5432356640358966,4,11,18,60000,60000
cand_airbnb,1,auroc,panels_l1,0.5355460495893991,4,11,18,60000,60000
cand_airbnb,1,auroc,lca_1,0.5,4,11,18,60000,60000
cand_airbnb,1,auroc,lca_2,0.49959155471267463,4,11,18,60000,60000
cand_airbnb,1,auroc,lca_5,0.5441716405661996,4,11,18,60000,60000
cand_airbnb,1,auroc,lca_10,0.5441934269814661,4,11,18,60000,60000
cand_airbnb,1,auroc,both,0.8735419943621248,4,11,18,60000,60000
cand_airbnb,2,auroc,values,0.8371216025454649,4,11,18,60000,60000
cand_airbnb,2,auroc,panels_tree,0.8761454811664614,4,11,18,60000,60000
cand_airbnb,2,auroc,panels_l1,0.8585091883508156,4,11,18,60000,60000
cand_airbnb,2,auroc,lca_1,0.5,4,11,18,60000,60000
cand_airbnb,2,auroc,lca_2,0.8504169710244662,4,11,18,60000,60000
cand_airbnb,2,auroc,lca_5,0.8765224809984137,4,11,18,60000,60000
cand_airbnb,2,auroc,lca_10,0.8761454811664614,4,11,18,60000,60000
cand_airbnb,2,auroc,both,0.9188552296321985,4,11,18,60000,60000
cand_airbnb,3,auroc,values,0.9999965799479804,4,11,18,60000,60000
cand_airbnb,3,auroc,panels_tree,0.527096194898722,4,11,18,60000,60000
cand_airbnb,3,auroc,panels_l1,0.5271170759966743,4,11,18,60000,60000
cand_airbnb,3,auroc,lca_1,0.5,4,11,18,60000,60000
cand_airbnb,3,auroc,lca_2,0.49398696124277613,4,11,18,60000,60000
cand_airbnb,3,auroc,lca_5,0.527712805895997,4,11,18,60000,60000
cand_airbnb,3,auroc,lca_10,0.5275491112674402,4,11,18,60000,60000
cand_airbnb,3,auroc,both,0.9999960890156576,4,11,18,60000,60000
