dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_eicu_regime,-1,fit,lca_1,-15.595403715738348,30,55,2,47496,47701
cand_eicu_regime,-1,fit,lca_2,-13.964945088170092,30,55,2,47496,47701
cand_eicu_regime,-1,fit,lca_5,-11.652046308763433,30,55,2,47496,47701
cand_eicu_regime,-1,fit,lca_10,-10.853319274853058,30,55,2,47496,47701
cand_eicu_regime,-1,fit,lca_20,-10.281778829192097,30,55,2,47496,47701
cand_eicu_regime,-1,fit,lca_50,-9.726469185069242,30,55,2,47496,47701
cand_eicu_regime,-1,fit,lca_100,-9.487154057937255,30,55,2,47496,47701
cand_eicu_regime,0,auroc,values,0.5496672333540136,30,55,2,47496,47701
cand_eicu_regime,0,auroc,panels_tree,0.7733952626272089,30,55,2,47496,47701
cand_eicu_regime,0,auroc,panels_l1,0.7401666500420929,30,55,2,47496,47701
cand_eicu_regime,0,auroc,lca_1,0.5,30,55,2,47496,47701
cand_eicu_regime,0,auroc,lca_2,0.6879098470152143,30,55,2,47496,47701
cand_eicu_regime,0,auroc,lca_5,0.6880430200613832,30,55,2,47496,47701
cand_eicu_regime,0,auroc,lca_10,0.6560325006811906,30,55,2,47496,47701
cand_eicu_regime,0,auroc,lca_20,0.7232129560345572,30,55,2,47496,47701
cand_eicu_regime,0,auroc,lca_50,0.7375697153577836,30,55,2,47496,47701
cand_eicu_regime,0,auroc,lca_100,0.7612276655910215,30,55,2,47496,47701
cand_eicu_regime,0,auroc,both,0.7755558333350978,30,55,2,47496,47701
cand_eicu_regime,1,auroc,values,0.5116557797418482,30,55,2,47496,47701
cand_eicu_regime,1,auroc,panels_tree,0.9969878596401285,30,55,2,47496,47701
cand_eicu_regime,1,auroc,panels_l1,0.9951281560808662,30,55,2,47496,47701
cand_eicu_regime,1,auroc,lca_1,0.5,30,55,2,47496,47701
cand_eicu_regime,1,auroc,lca_2,0.9394296399323263,30,55,2,47496,47701
cand_eicu_regime,1,auroc,lca_5,0.9671583703713071,30,55,2,47496,47701
cand_eicu_regime,1,auroc,lca_10,0.9935342863424145,30,55,2,47496,47701
cand_eicu_regime,1,auroc,lca_20,0.9943070884743314,30,55,2,47496,47701
cand_eicu_regime,1,auroc,lca_50,0.9951870748854632,30,55,2,47496,47701
cand_eicu_regime,1,auroc,lca_100,0.99627617724325,30,55,2,47496,47701
cand_eicu_regime,1,auroc,both,0.9966377463717748,30,55,2,47496,47701
cand_eicu_regime,2,auroc,values,0.4978373128768498,30,55,2,47496,47701
cand_eicu_regime,2,auroc,panels_tree,0.9993984365462865,30,55,2,47496,47701
cand_eicu_regime,2,auroc,panels_l1,0.9992782584407925,30,55,2,47496,47701
cand_eicu_regime,2,auroc,lca_1,0.5,30,55,2,47496,47701
cand_eicu_regime,2,auroc,lca_2,0.8951771494642706,30,55,2,47496,47701
cand_eicu_regime,2,auroc,lca_5,0.966908256081697,30,55,2,47496,47701
cand_eicu_regime,2,auroc,lca_10,0.9985284318452887,30,55,2,47496,47701
cand_eicu_regime,2,auroc,lca_20,0.9992244391634064,30,55,2,47496,47701
cand_eicu_regime,2,auroc,lca_50,0.9993551587919178,30,55,2,47496,47701
cand_eicu_regime,2,auroc,lca_100,0.9994597232298823,30,55,2,47496,47701
cand_eicu_regime,2,auroc,both,0.9993635244212644,30,55,2,47496,47701
cand_eicu_regime,3,auroc,values,0.5200562189873414,30,55,2,47496,47701
cand_eicu_regime,3,auroc,panels_tree,0.9948236710653902,30,55,2,47496,47701
cand_eicu_regime,3,auroc,panels_l1,0.9930197909042865,30,55,2,47496,47701
cand_eicu_regime,3,auroc,lca_1,0.5,30,55,2,47496,47701
cand_eicu_regime,3,auroc,lca_2,0.9150905367540548,30,55,2,47496,47701
cand_eicu_regime,3,auroc,lca_5,0.9918456502977314,30,55,2,47496,47701
cand_eicu_regime,3,auroc,lca_10,0.9921727452099758,30,55,2,47496,47701
cand_eicu_regime,3,auroc,lca_20,0.9921162440055632,30,55,2,47496,47701
cand_eicu_regime,3,auroc,lca_50,0.9933920274823145,30,55,2,47496,47701
cand_eicu_regime,3,auroc,lca_100,0.9933550744332952,30,55,2,47496,47701
cand_eicu_regime,3,auroc,both,0.9945556728902734,30,55,2,47496,47701
cand_eicu_regime,4,auroc,values,0.5042187730669406,30,55,2,47496,47701
cand_eicu_regime,4,auroc,panels_tree,0.9710526561311903,30,55,2,47496,47701
cand_eicu_regime,4,auroc,panels_l1,0.9592535642273863,30,55,2,47496,47701
cand_eicu_regime,4,auroc,lca_1,0.5,30,55,2,47496,47701
cand_eicu_regime,4,auroc,lca_2,0.8166013388526476,30,55,2,47496,47701
cand_eicu_regime,4,auroc,lca_5,0.8573345031460214,30,55,2,47496,47701
cand_eicu_regime,4,auroc,lca_10,0.9061630624457849,30,55,2,47496,47701
cand_eicu_regime,4,auroc,lca_20,0.9213572922997008,30,55,2,47496,47701
cand_eicu_regime,4,auroc,lca_50,0.9477629723703023,30,55,2,47496,47701
cand_eicu_regime,4,auroc,lca_100,0.9628857511056463,30,55,2,47496,47701
cand_eicu_regime,4,auroc,both,0.9706469936836428,30,55,2,47496,47701
cand_eicu_regime,5,auroc,values,0.5222696197744158,30,55,2,47496,47701
cand_eicu_regime,5,auroc,panels_tree,0.9873000413657409,30,55,2,47496,47701
cand_eicu_regime,5,auroc,panels_l1,0.973257903076213,30,55,2,47496,47701
cand_eicu_regime,5,auroc,lca_1,0.5,30,55,2,47496,47701
cand_eicu_regime,5,auroc,lca_2,0.7473369224493196,30,55,2,47496,47701
cand_eicu_regime,5,auroc,lca_5,0.7532368750474339,30,55,2,47496,47701
cand_eicu_regime,5,auroc,lca_10,0.8882300160206088,30,55,2,47496,47701
cand_eicu_regime,5,auroc,lca_20,0.9716116005099193,30,55,2,47496,47701
cand_eicu_regime,5,auroc,lca_50,0.9898714329698552,30,55,2,47496,47701
cand_eicu_regime,5,auroc,lca_100,0.9908855978917115,30,55,2,47496,47701
cand_eicu_regime,5,auroc,both,0.9872517345834313,30,55,2,47496,47701
cand_eicu_regime,6,auroc,values,0.5174343506323578,30,55,2,47496,47701
cand_eicu_regime,6,auroc,panels_tree,0.9964144702071578,30,55,2,47496,47701
cand_eicu_regime,6,auroc,panels_l1,0.9958377191499914,30,55,2,47496,47701
cand_eicu_regime,6,auroc,lca_1,0.5,30,55,2,47496,47701
cand_eicu_regime,6,auroc,lca_2,0.9051926710137492,30,55,2,47496,47701
cand_eicu_regime,6,auroc,lca_5,0.980619988644116,30,55,2,47496,47701
cand_eicu_regime,6,auroc,lca_10,0.9805375377022402,30,55,2,47496,47701
cand_eicu_regime,6,auroc,lca_20,0.9918511340166594,30,55,2,47496,47701
