dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_higgs,-1,fit,lca_1,-1.704234433628102,3,11,19,60000,60000
cand_higgs,-1,fit,lca_2,-1.485098240839629,3,11,19,60000,60000
cand_higgs,-1,fit,lca_5,-1.4851086209867232,3,11,19,60000,60000
cand_higgs,0,auroc,values,0.995124154942391,3,11,19,60000,60000
cand_higgs,0,auroc,panels_tree,0.6834441291664598,3,11,19,60000,60000
cand_higgs,0,auroc,panels_l1,0.6834441291664598,3,11,19,60000,60000
cand_higgs,0,auroc,lca_1,0.5,3,11,19,60000,60000
cand_higgs,0,auroc,lca_2,0.6834441291664598,3,11,19,60000,60000
cand_higgs,0,auroc,lca_5,0.6834441291664598,3,11,19,60000,60000
cand_higgs,0,auroc,both,0.995124154942391,3,11,19,60000,60000
cand_higgs,1,auroc,values,1.0,3,11,19,60000,60000
cand_higgs,1,auroc,panels_tree,0.7903730377986753,3,11,19,60000,60000
cand_higgs,1,auroc,panels_l1,0.7903730377986753,3,11,19,60000,60000
cand_higgs,1,auroc,lca_1,0.5,3,11,19,60000,60000
cand_higgs,1,auroc,lca_2,0.7903730377986753,3,11,19,60000,60000
cand_higgs,1,auroc,lca_5,0.7903730377986753,3,11,19,60000,60000
cand_higgs,1,auroc,both,1.0,3,11,19,60000,60000
cand_higgs,2,auroc,values,1.0,3,11,19,60000,60000
cand_higgs,2,auroc,panels_tree,0.7844631674113118,3,11,19,60000,60000
cand_higgs,2,auroc,panels_l1,0.7844631674113118,3,11,19,60000,60000
cand_higgs,2,auroc,lca_1,0.5,3,11,19,60000,60000
cand_higgs,2,auroc,lca_2,0.7844631674113118,3,11,19,60000,60000
cand_higgs,2,auroc,lca_5,0.7844631674113118,3,11,19,60000,60000
cand_higgs,2,auroc,both,1.0,3,11,19,60000,60000
