dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_mimic4_regime,-1,fit,lca_1,-10.219069629878087,22,54,2,33458,33531
cand_mimic4_regime,-1,fit,lca_2,-8.420061474776958,22,54,2,33458,33531
cand_mimic4_regime,-1,fit,lca_5,-7.500351750477134,22,54,2,33458,33531
cand_mimic4_regime,-1,fit,lca_10,-6.729922066127409,22,54,2,33458,33531
cand_mimic4_regime,-1,fit,lca_20,-6.450861076872737,22,54,2,33458,33531
cand_mimic4_regime,-1,fit,lca_50,-6.381203663389159,22,54,2,33458,33531
cand_mimic4_regime,-1,fit,lca_100,-6.343973885952199,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,values,0.550675842203683,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,panels_tree,0.9595096923342143,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,panels_l1,0.9575945781114459,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,lca_1,0.5,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,lca_2,0.9497232474269746,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,lca_5,0.9452719106023839,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,lca_10,0.9490282856886445,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,lca_20,0.9549489533318899,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,lca_50,0.9571807444414177,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,lca_100,0.9581451141053636,22,54,2,33458,33531
cand_mimic4_regime,0,auroc,both,0.9593417486263501,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,values,0.555352889979634,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,panels_tree,0.9832796627071635,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,panels_l1,0.9800507781625223,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,lca_1,0.5,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,lca_2,0.7921741622320144,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,lca_5,0.9107107117763535,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,lca_10,0.9392038613303393,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,lca_20,0.9699754669257573,22,54,2,33458,33531
cand_mimic4_regime,1,auroc,lca_50,0.980416275778521,22,54,2,33458,33531
