dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_nhanes,-1,fit,lca_1,-3.5380486123471995,15,47,5,14910,14715
cand_nhanes,-1,fit,lca_2,-3.1468715434094596,15,47,5,14910,14715
cand_nhanes,-1,fit,lca_5,-2.821241806063819,15,47,5,14910,14715
cand_nhanes,-1,fit,lca_10,-2.6567557290831365,15,47,5,14910,14715
cand_nhanes,-1,fit,lca_20,-2.627223169870744,15,47,5,14910,14715
cand_nhanes,-1,fit,lca_50,-2.5839332281903107,15,47,5,14910,14715
cand_nhanes,-1,fit,lca_100,-2.5721289351320653,15,47,5,14910,14715
cand_nhanes,0,auroc,values,1.0,15,47,5,14910,14715
cand_nhanes,0,auroc,panels_tree,0.8866620479539242,15,47,5,14910,14715
cand_nhanes,0,auroc,panels_l1,0.8858712881617662,15,47,5,14910,14715
cand_nhanes,0,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,0,auroc,lca_2,0.605773627428476,15,47,5,14910,14715
cand_nhanes,0,auroc,lca_5,0.8637896955405772,15,47,5,14910,14715
cand_nhanes,0,auroc,lca_10,0.8803959433233864,15,47,5,14910,14715
cand_nhanes,0,auroc,lca_20,0.8847770705953548,15,47,5,14910,14715
cand_nhanes,0,auroc,lca_50,0.8848523194424155,15,47,5,14910,14715
cand_nhanes,0,auroc,lca_100,0.8841209907973538,15,47,5,14910,14715
cand_nhanes,0,auroc,both,1.0,15,47,5,14910,14715
cand_nhanes,1,auroc,values,0.6326351276359601,15,47,5,14910,14715
cand_nhanes,1,auroc,panels_tree,0.542822080404489,15,47,5,14910,14715
cand_nhanes,1,auroc,panels_l1,0.5315941238130472,15,47,5,14910,14715
cand_nhanes,1,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,1,auroc,lca_2,0.527229066469355,15,47,5,14910,14715
cand_nhanes,1,auroc,lca_5,0.5337651991614255,15,47,5,14910,14715
cand_nhanes,1,auroc,lca_10,0.5287954433345665,15,47,5,14910,14715
cand_nhanes,1,auroc,lca_20,0.5442962449130595,15,47,5,14910,14715
cand_nhanes,1,auroc,lca_50,0.543200332963374,15,47,5,14910,14715
cand_nhanes,1,auroc,lca_100,0.5380902084104081,15,47,5,14910,14715
cand_nhanes,1,auroc,both,0.6418950240473549,15,47,5,14910,14715
cand_nhanes,2,auroc,values,1.0,15,47,5,14910,14715
cand_nhanes,2,auroc,panels_tree,0.9933954549028858,15,47,5,14910,14715
cand_nhanes,2,auroc,panels_l1,0.9935890177291452,15,47,5,14910,14715
cand_nhanes,2,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,2,auroc,lca_2,0.5921202388081369,15,47,5,14910,14715
cand_nhanes,2,auroc,lca_5,0.9890883190883191,15,47,5,14910,14715
cand_nhanes,2,auroc,lca_10,0.9894830662771216,15,47,5,14910,14715
cand_nhanes,2,auroc,lca_20,0.9926467296955619,15,47,5,14910,14715
cand_nhanes,2,auroc,lca_50,0.9925477102122537,15,47,5,14910,14715
cand_nhanes,2,auroc,lca_100,0.993420981000599,15,47,5,14910,14715
cand_nhanes,2,auroc,both,1.0,15,47,5,14910,14715
cand_nhanes,3,auroc,values,0.6611733924513723,15,47,5,14910,14715
cand_nhanes,3,auroc,panels_tree,0.999775330219574,15,47,5,14910,14715
cand_nhanes,3,auroc,panels_l1,0.9997185569622707,15,47,5,14910,14715
cand_nhanes,3,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,3,auroc,lca_2,0.991690506819022,15,47,5,14910,14715
cand_nhanes,3,auroc,lca_5,0.9933265459288729,15,47,5,14910,14715
cand_nhanes,3,auroc,lca_10,0.9992288876180296,15,47,5,14910,14715
cand_nhanes,3,auroc,lca_20,0.999639455198284,15,47,5,14910,14715
cand_nhanes,3,auroc,lca_50,0.999626646597551,15,47,5,14910,14715
cand_nhanes,3,auroc,lca_100,0.9996519176206189,15,47,5,14910,14715
cand_nhanes,3,auroc,both,0.9998118520405832,15,47,5,14910,14715
cand_nhanes,4,auroc,values,0.6797957285566656,15,47,5,14910,14715
cand_nhanes,4,auroc,panels_tree,0.9996145366861867,15,47,5,14910,14715
cand_nhanes,4,auroc,panels_l1,0.9995856011023079,15,47,5,14910,14715
cand_nhanes,4,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,4,auroc,lca_2,0.9912928005511539,15,47,5,14910,14715
cand_nhanes,4,auroc,lca_5,0.992957630037892,15,47,5,14910,14715
cand_nhanes,4,auroc,lca_10,0.999238890802618,15,47,5,14910,14715
cand_nhanes,4,auroc,lca_20,0.9995230795728556,15,47,5,14910,14715
cand_nhanes,4,auroc,lca_50,0.9995175680330693,15,47,5,14910,14715
cand_nhanes,4,auroc,lca_100,0.9994559076817084,15,47,5,14910,14715
cand_nhanes,4,auroc,both,0.9996079917326903,15,47,5,14910,14715
cand_nhanes,5,auroc,values,0.6863988060518293,15,47,5,14910,14715
cand_nhanes,5,auroc,panels_tree,1.0,15,47,5,14910,14715
cand_nhanes,5,auroc,panels_l1,1.0,15,47,5,14910,14715
cand_nhanes,5,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,5,auroc,lca_2,0.9880822009006528,15,47,5,14910,14715
cand_nhanes,5,auroc,lca_5,0.9908804787519613,15,47,5,14910,14715
cand_nhanes,5,auroc,lca_10,1.0,15,47,5,14910,14715
cand_nhanes,5,auroc,lca_20,0.999998473055849,15,47,5,14910,14715
cand_nhanes,5,auroc,lca_50,0.9999969461116979,15,47,5,14910,14715
cand_nhanes,5,auroc,lca_100,0.9999648802845247,15,47,5,14910,14715
cand_nhanes,5,auroc,both,1.0,15,47,5,14910,14715
cand_nhanes,6,auroc,values,0.639528754069945,15,47,5,14910,14715
cand_nhanes,6,auroc,panels_tree,0.92981829589378,15,47,5,14910,14715
cand_nhanes,6,auroc,panels_l1,0.9309352200742201,15,47,5,14910,14715
cand_nhanes,6,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,6,auroc,lca_2,0.9149655851876219,15,47,5,14910,14715
cand_nhanes,6,auroc,lca_5,0.9006671867745716,15,47,5,14910,14715
cand_nhanes,6,auroc,lca_10,0.9212615399989302,15,47,5,14910,14715
cand_nhanes,6,auroc,lca_20,0.9227131725626481,15,47,5,14910,14715
cand_nhanes,6,auroc,lca_50,0.9271715636787624,15,47,5,14910,14715
cand_nhanes,6,auroc,lca_100,0.9267289186534136,15,47,5,14910,14715
cand_nhanes,6,auroc,both,0.937971012451571,15,47,5,14910,14715
cand_nhanes,7,auroc,values,0.6395670241667535,15,47,5,14910,14715
cand_nhanes,7,auroc,panels_tree,0.9789392094099507,15,47,5,14910,14715
cand_nhanes,7,auroc,panels_l1,0.9796538940494373,15,47,5,14910,14715
cand_nhanes,7,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,7,auroc,lca_2,0.9590519034054921,15,47,5,14910,14715
cand_nhanes,7,auroc,lca_5,0.9431987842405645,15,47,5,14910,14715
cand_nhanes,7,auroc,lca_10,0.9738128551394557,15,47,5,14910,14715
cand_nhanes,7,auroc,lca_20,0.973250231061562,15,47,5,14910,14715
cand_nhanes,7,auroc,lca_50,0.9774545041848879,15,47,5,14910,14715
cand_nhanes,7,auroc,lca_100,0.9759425086206254,15,47,5,14910,14715
cand_nhanes,7,auroc,both,0.9787087017109533,15,47,5,14910,14715
cand_nhanes,8,auroc,values,0.563839272038945,15,47,5,14910,14715
cand_nhanes,8,auroc,panels_tree,0.7900336304786725,15,47,5,14910,14715
cand_nhanes,8,auroc,panels_l1,0.7899786384516685,15,47,5,14910,14715
cand_nhanes,8,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,8,auroc,lca_2,0.7633668492688321,15,47,5,14910,14715
cand_nhanes,8,auroc,lca_5,0.7809071016805407,15,47,5,14910,14715
cand_nhanes,8,auroc,lca_10,0.7858599730047361,15,47,5,14910,14715
cand_nhanes,8,auroc,lca_20,0.7812463793147688,15,47,5,14910,14715
cand_nhanes,8,auroc,lca_50,0.7786646647232761,15,47,5,14910,14715
cand_nhanes,8,auroc,lca_100,0.7810960131402122,15,47,5,14910,14715
cand_nhanes,8,auroc,both,0.8233504906950438,15,47,5,14910,14715
cand_nhanes,9,auroc,values,0.6465643437299841,15,47,5,14910,14715
cand_nhanes,9,auroc,panels_tree,0.8110777383285567,15,47,5,14910,14715
cand_nhanes,9,auroc,panels_l1,0.8117300906209044,15,47,5,14910,14715
cand_nhanes,9,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,9,auroc,lca_2,0.7831644094728366,15,47,5,14910,14715
cand_nhanes,9,auroc,lca_5,0.798389694931957,15,47,5,14910,14715
cand_nhanes,9,auroc,lca_10,0.8087962537854594,15,47,5,14910,14715
cand_nhanes,9,auroc,lca_20,0.8117772995841324,15,47,5,14910,14715
cand_nhanes,9,auroc,lca_50,0.811234678519933,15,47,5,14910,14715
cand_nhanes,9,auroc,lca_100,0.8085347996050014,15,47,5,14910,14715
cand_nhanes,9,auroc,both,0.8752978902500461,15,47,5,14910,14715
cand_nhanes,10,auroc,values,0.5655298986543912,15,47,5,14910,14715
cand_nhanes,10,auroc,panels_tree,0.995679766676257,15,47,5,14910,14715
cand_nhanes,10,auroc,panels_l1,0.9963346378660998,15,47,5,14910,14715
cand_nhanes,10,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,10,auroc,lca_2,0.9626515227395052,15,47,5,14910,14715
cand_nhanes,10,auroc,lca_5,0.9708011069325196,15,47,5,14910,14715
cand_nhanes,10,auroc,lca_10,0.9944138306787503,15,47,5,14910,14715
cand_nhanes,10,auroc,lca_20,0.9946332618665671,15,47,5,14910,14715
cand_nhanes,10,auroc,lca_50,0.9946174048688513,15,47,5,14910,14715
cand_nhanes,10,auroc,lca_100,0.9949791497591906,15,47,5,14910,14715
cand_nhanes,10,auroc,both,0.9965291998057004,15,47,5,14910,14715
cand_nhanes,11,auroc,values,0.6220784774815276,15,47,5,14910,14715
cand_nhanes,11,auroc,panels_tree,0.9271297545081132,15,47,5,14910,14715
cand_nhanes,11,auroc,panels_l1,0.9267836681997901,15,47,5,14910,14715
cand_nhanes,11,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,11,auroc,lca_2,0.8345427718412467,15,47,5,14910,14715
cand_nhanes,11,auroc,lca_5,0.9163959301141582,15,47,5,14910,14715
cand_nhanes,11,auroc,lca_10,0.9165578494772394,15,47,5,14910,14715
cand_nhanes,11,auroc,lca_20,0.9208126323231624,15,47,5,14910,14715
cand_nhanes,11,auroc,lca_50,0.9214263044037918,15,47,5,14910,14715
cand_nhanes,11,auroc,lca_100,0.9219556739019338,15,47,5,14910,14715
cand_nhanes,11,auroc,both,0.9472505984561177,15,47,5,14910,14715
cand_nhanes,12,auroc,values,0.6171287383209816,15,47,5,14910,14715
cand_nhanes,12,auroc,panels_tree,0.9753833968941823,15,47,5,14910,14715
cand_nhanes,12,auroc,panels_l1,0.9750372241160136,15,47,5,14910,14715
cand_nhanes,12,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,12,auroc,lca_2,0.8745967067966406,15,47,5,14910,14715
cand_nhanes,12,auroc,lca_5,0.9715711835505442,15,47,5,14910,14715
cand_nhanes,12,auroc,lca_10,0.9640498803154582,15,47,5,14910,14715
cand_nhanes,12,auroc,lca_20,0.9716236557532152,15,47,5,14910,14715
cand_nhanes,12,auroc,lca_50,0.9752904803636079,15,47,5,14910,14715
cand_nhanes,12,auroc,lca_100,0.9748084069765124,15,47,5,14910,14715
cand_nhanes,12,auroc,both,0.9774537247884244,15,47,5,14910,14715
cand_nhanes,13,auroc,values,0.5108669794879647,15,47,5,14910,14715
cand_nhanes,13,auroc,panels_tree,0.6528399372730824,15,47,5,14910,14715
cand_nhanes,13,auroc,panels_l1,0.6539225077169187,15,47,5,14910,14715
cand_nhanes,13,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,13,auroc,lca_2,0.6063071121066795,15,47,5,14910,14715
cand_nhanes,13,auroc,lca_5,0.6336713449023482,15,47,5,14910,14715
cand_nhanes,13,auroc,lca_10,0.6354858384830598,15,47,5,14910,14715
cand_nhanes,13,auroc,lca_20,0.6395723845352107,15,47,5,14910,14715
cand_nhanes,13,auroc,lca_50,0.652005379759653,15,47,5,14910,14715
cand_nhanes,13,auroc,lca_100,0.6547784233715827,15,47,5,14910,14715
cand_nhanes,13,auroc,both,0.7323649909771384,15,47,5,14910,14715
cand_nhanes,14,auroc,values,0.9343719151896555,15,47,5,14910,14715
cand_nhanes,14,auroc,panels_tree,0.8143338810110339,15,47,5,14910,14715
cand_nhanes,14,auroc,panels_l1,0.8120209615739238,15,47,5,14910,14715
cand_nhanes,14,auroc,lca_1,0.5,15,47,5,14910,14715
cand_nhanes,14,auroc,lca_2,0.7063083383956545,15,47,5,14910,14715
cand_nhanes,14,auroc,lca_5,0.8065712385890282,15,47,5,14910,14715
cand_nhanes,14,auroc,lca_10,0.79526036929885,15,47,5,14910,14715
cand_nhanes,14,auroc,lca_20,0.8011641582772595,15,47,5,14910,14715
cand_nhanes,14,auroc,lca_50,0.8130604532115439,15,47,5,14910,14715
cand_nhanes,14,auroc,lca_100,0.8125257039818521,15,47,5,14910,14715
cand_nhanes,14,auroc,both,0.999139644832022,15,47,5,14910,14715
