dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
cand_porto,-1,fit,lca_1,-2.1363402430932106,5,5,52,60000,60000
cand_porto,-1,fit,lca_2,-1.8677456487641189,5,5,52,60000,60000
cand_porto,-1,fit,lca_5,-1.866291888439855,5,5,52,60000,60000
cand_porto,-1,fit,lca_10,-1.8662901032346597,5,5,52,60000,60000
cand_porto,-1,fit,lca_20,-1.8662952356083944,5,5,52,60000,60000
cand_porto,0,auroc,values,0.9591291086469249,5,5,52,60000,60000
cand_porto,0,auroc,panels_tree,0.5364869574244239,5,5,52,60000,60000
cand_porto,0,auroc,panels_l1,0.5365017073101,5,5,52,60000,60000
cand_porto,0,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,0,auroc,lca_2,0.48780953317572673,5,5,52,60000,60000
cand_porto,0,auroc,lca_5,0.5366517439234084,5,5,52,60000,60000
cand_porto,0,auroc,lca_10,0.5365015942697193,5,5,52,60000,60000
cand_porto,0,auroc,lca_20,0.5364939150598566,5,5,52,60000,60000
cand_porto,0,auroc,both,0.9593855840827087,5,5,52,60000,60000
cand_porto,1,auroc,values,0.8579704492849252,5,5,52,60000,60000
cand_porto,1,auroc,panels_tree,0.8497649753069593,5,5,52,60000,60000
cand_porto,1,auroc,panels_l1,0.8497040442657171,5,5,52,60000,60000
cand_porto,1,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,1,auroc,lca_2,0.8497799851235349,5,5,52,60000,60000
cand_porto,1,auroc,lca_5,0.8497799851235349,5,5,52,60000,60000
cand_porto,1,auroc,lca_10,0.8497799851235349,5,5,52,60000,60000
cand_porto,1,auroc,lca_20,0.8497799851235349,5,5,52,60000,60000
cand_porto,1,auroc,both,0.9996117473740961,5,5,52,60000,60000
cand_porto,2,auroc,values,0.8721685160285386,5,5,52,60000,60000
cand_porto,2,auroc,panels_tree,0.7909256261269448,5,5,52,60000,60000
cand_porto,2,auroc,panels_l1,0.790859903885724,5,5,52,60000,60000
cand_porto,2,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,2,auroc,lca_2,0.7693184593912588,5,5,52,60000,60000
cand_porto,2,auroc,lca_5,0.7909317391175672,5,5,52,60000,60000
cand_porto,2,auroc,lca_10,0.7909336916753814,5,5,52,60000,60000
cand_porto,2,auroc,lca_20,0.7909336916753814,5,5,52,60000,60000
cand_porto,2,auroc,both,0.9995150638210111,5,5,52,60000,60000
cand_porto,3,auroc,values,0.9990306493021982,5,5,52,60000,60000
cand_porto,3,auroc,panels_tree,0.8639637724959651,5,5,52,60000,60000
cand_porto,3,auroc,panels_l1,0.8635229082954026,5,5,52,60000,60000
cand_porto,3,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,3,auroc,lca_2,0.8621414314827714,5,5,52,60000,60000
cand_porto,3,auroc,lca_5,0.8630565444999049,5,5,52,60000,60000
cand_porto,3,auroc,lca_10,0.8639467633790785,5,5,52,60000,60000
cand_porto,3,auroc,lca_20,0.8639467633790785,5,5,52,60000,60000
cand_porto,3,auroc,both,0.9995050318825195,5,5,52,60000,60000
cand_porto,4,auroc,values,0.9603872527954281,5,5,52,60000,60000
cand_porto,4,auroc,panels_tree,0.6138017939370903,5,5,52,60000,60000
cand_porto,4,auroc,panels_l1,0.6138061383103666,5,5,52,60000,60000
cand_porto,4,auroc,lca_1,0.5,5,5,52,60000,60000
cand_porto,4,auroc,lca_2,0.6006510778460503,5,5,52,60000,60000
cand_porto,4,auroc,lca_5,0.6148126496686291,5,5,52,60000,60000
cand_porto,4,auroc,lca_10,0.6138090041886384,5,5,52,60000,60000
cand_porto,4,auroc,lca_20,0.6138090041886384,5,5,52,60000,60000
cand_porto,4,auroc,both,0.9787449259666612,5,5,52,60000,60000
