dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
sweep_42080,-1,fit,lca_1,-0.5236636540721603,2,2,5,60000,60000
sweep_42080,-1,fit,lca_2,-0.5233110574413605,2,2,5,60000,60000
sweep_42080,0,auroc,values,0.854607265992772,2,2,5,60000,60000
sweep_42080,0,auroc,panels_tree,0.5099518013092318,2,2,5,60000,60000
sweep_42080,0,auroc,panels_l1,0.5099518013092318,2,2,5,60000,60000
sweep_42080,0,auroc,lca_1,0.5,2,2,5,60000,60000
sweep_42080,0,auroc,lca_2,0.5099518013092318,2,2,5,60000,60000
sweep_42080,0,auroc,both,0.8556272719719185,2,2,5,60000,60000
sweep_42080,1,auroc,values,0.9190534280917538,2,2,5,60000,60000
sweep_42080,1,auroc,panels_tree,0.5161326356195198,2,2,5,60000,60000
sweep_42080,1,auroc,panels_l1,0.5161326356195198,2,2,5,60000,60000
sweep_42080,1,auroc,lca_1,0.5,2,2,5,60000,60000
sweep_42080,1,auroc,lca_2,0.5161326356195198,2,2,5,60000,60000
sweep_42080,1,auroc,both,0.9200254040340593,2,2,5,60000,60000
