dataset,site,n_site,panel,base_rate,n_panels,pooled_on_site,within_site,values_on_site
cand_mimic4_regime,POOLED,33531,0,0.40228445319256806,22,0.9595096923342143,nan,0.550675842203683
cand_mimic4_regime,0,5976,0,0.10240963855421686,22,0.992123110740692,0.9918955588698318,0.5735498213702583
cand_mimic4_regime,1,3819,0,0.49725058915946585,22,0.9411888932771635,0.9409785303668596,0.5112907560997016
cand_mimic4_regime,2,6957,0,0.3386517176944085,22,0.9282548748352853,0.9307947375432151,0.5215540542784491
cand_mimic4_regime,3,5280,0,0.4323863636363636,22,0.9120298572773387,0.9147279123188017,0.5043249557047191
cand_mimic4_regime,4,2257,0,0.8688524590163934,22,0.9495172760726049,0.9397034400540265,0.5047006146891408
cand_mimic4_regime,6,690,0,0.5057971014492754,22,0.9535245233553765,0.9515288759673639,0.5410599198379955
cand_mimic4_regime,7,4555,0,0.4897914379802415,22,0.9606530109681217,0.9611067372518826,0.5505711454385127
cand_mimic4_regime,8,3510,0,0.3945868945868946,22,0.9582217880654067,0.9585017625822893,0.5167959227012104
cand_mimic4_regime,POOLED,33531,1,0.020906027258357936,22,0.9832796627071635,nan,0.555352889979634
cand_mimic4_regime,0,5976,1,0.0028447121820615795,22,0.992023928215354,0.9764271541810213,0.6285746720235333
cand_mimic4_regime,1,3819,1,0.017543859649122806,22,0.9772280654297807,0.9290070171530408,0.5680393342456163
cand_mimic4_regime,2,6957,1,0.019979876383498633,22,0.969561106761408,0.9591369438916453,0.5443240596727663
cand_mimic4_regime,3,5280,1,0.019696969696969695,22,0.9615988363452622,0.9527738972773747,0.5627758664249198
cand_mimic4_regime,4,2257,1,0.08462560921577315,22,0.999505836201173,0.9996490169941663,0.49546889809075384
cand_mimic4_regime,6,690,1,0.036231884057971016,22,1.0,0.8535338345864661,0.48574436090225565
cand_mimic4_regime,7,4555,1,0.016026344676180023,22,0.9577671416258641,0.9255530493358517,0.5526382546930492
cand_mimic4_regime,8,3510,1,0.01339031339031339,22,0.9586510281947149,0.9123868740054436,0.4648810218664176
cand_mimic4_regime,POOLED,33531,2,0.016134323461871103,22,0.9869910167143015,nan,0.5297569027526965
cand_mimic4_regime,0,5976,2,0.0015060240963855422,22,0.9998975848649052,0.9998696534644247,0.710528275887753
cand_mimic4_regime,1,3819,2,0.009164702801780571,22,0.9834679855028693,0.9117864693446087,0.5413659015403202
cand_mimic4_regime,2,6957,2,0.01207416990081932,22,0.9883325365647495,0.9896307497245952,0.5094113958692745
cand_mimic4_regime,3,5280,2,0.013825757575757576,22,0.9592553227872911,0.9671727469081399,0.49132358705746476
cand_mimic4_regime,4,2257,2,0.08063801506424458,22,0.999364490930756,0.9997855156891301,0.4692877002515557
cand_mimic4_regime,6,690,2,0.03333333333333333,22,0.9999999999999999,0.9020272472459422,0.5057688547030832
cand_mimic4_regime,7,4555,2,0.012952799121844128,22,0.9750361903613005,0.9690685505760299,0.5435547228421498
cand_mimic4_regime,8,3510,2,0.011396011396011397,22,0.9580079250720461,0.927550432276657,0.5124819884726225
cand_mimic4_regime,POOLED,33531,3,0.0198323939041484,22,0.9806691926066613,nan,0.5023433271305813
cand_mimic4_regime,0,5976,3,0.021251673360107096,22,0.7512792414882145,0.7517019532243887,0.5042432719503839
cand_mimic4_regime,1,3819,3,0.01021209740769835,22,0.9735958485958486,0.8977174060507394,0.5148080314746981
cand_mimic4_regime,2,6957,3,0.01250539025442001,22,0.9924643209690642,0.9889407552410112,0.5061553648212284
cand_mimic4_regime,3,5280,3,0.014015151515151515,22,0.9789769600564838,0.9633829469115678,0.5178354497409435
cand_mimic4_regime,4,2257,3,0.08063801506424458,22,0.9998861379584271,0.9993049119555143,0.46457301734410167
cand_mimic4_regime,6,690,3,0.034782608695652174,22,0.9639014014014015,0.8753440940940941,0.47553803803803807
cand_mimic4_regime,7,4555,3,0.012733260153677277,22,0.9793348822586705,0.9698036238718533,0.5148010551095366
cand_mimic4_regime,8,3510,3,0.010826210826210826,22,1.0,0.9421802995391705,0.512839558573854
cand_mimic4_regime,POOLED,33531,4,0.04914854910381438,22,0.9824438598924649,nan,0.5220318585946371
cand_mimic4_regime,0,5976,4,0.13002008032128515,22,0.9063147724428741,0.907517607459904,0.4921201805217962
cand_mimic4_regime,1,3819,4,0.016496465043205028,22,0.9947998546241358,0.8183351082712105,0.4307584055986612
cand_mimic4_regime,2,6957,4,0.019404915912031046,22,0.9784906131578661,0.9862704539778712,0.5038660325526347
cand_mimic4_regime,3,5280,4,0.020643939393939395,22,0.9776088950551683,0.9722907747689568,0.4942418817718434
cand_mimic4_regime,4,2257,4,0.11564023039432876,22,0.9985065917275162,0.9928717588433572,0.5171425225930789
cand_mimic4_regime,6,690,4,0.04782608695652174,22,1.0,0.8085189797518565,0.45609058622757254
cand_mimic4_regime,7,4555,4,0.0278814489571899,22,0.9645775985318907,0.9671889337003605,0.5093179409484383
cand_mimic4_regime,8,3510,4,0.017378917378917377,22,0.9930081895916612,0.8722010181140649,0.5005584892746293
cand_mimic4_regime,POOLED,33531,5,0.08687483224478841,22,0.9948618365548856,nan,0.5799488652535658
cand_mimic4_regime,0,5976,5,0.32814591700133866,22,0.9833106091829276,0.982592877423583,0.5180359475526186
cand_mimic4_regime,1,3819,5,0.027755957056821157,22,0.9909306414484549,0.8091661627428364,0.43917469980537527
cand_mimic4_regime,2,6957,5,0.020986057208566913,22,0.9956556979744692,0.9907934988324687,0.4911092652296949
cand_mimic4_regime,3,5280,5,0.023295454545454546,22,0.984846550036181,0.9884985440895712,0.5056045063068432
cand_mimic4_regime,4,2257,5,0.11874169251218432,22,0.9959225366380766,0.9965003414301044,0.49900103554625064
cand_mimic4_regime,6,690,5,0.04927536231884058,22,0.9967270444763271,0.8072767216642756,0.37428263988522237
cand_mimic4_regime,7,4555,5,0.02810098792535675,22,0.9832217429975152,0.9862941537723062,0.47978050175062115
cand_mimic4_regime,8,3510,5,0.019088319088319088,22,0.9904131679678864,0.847776799996532,0.513876305374088
